Genome,Region_Type,antiSMASH_classif,new_classif,From,To,Size(bp),Most_similar_known_ cluster,Most_similar_classif,Similarity,Correct_name
GCA_900092065.1,Region&nbsp31.1,terpene,terpene,63664.0,84500,20836.0,carotenoid,Terpene,28%,GCA_900092065_contig45.region001
GCA_900092065.1,Region&nbsp36.1,siderophore,Siderophore,105020.0,116834,11814.0,putrebactin / avaroferrin,Other,40%,GCA_900092065_contig51.region001
GCA_014220515.1,Region&nbsp11.1,microviridin,RiPPs,565077.0,585569,20492.0,,,,GCA_014220515_contig11.region001
GCA_014220515.1,Region&nbsp11.2,"T1PKS,hglE-KS",PKS_other,757177.0,808489,51312.0,,,,GCA_014220515_contig11.region002
GCA_014220515.1,Region&nbsp11.3,"NRPS,terpene",NRPS_other,830068.0,874099,44031.0,carotenoid,Terpene,28%,GCA_014220515_contig11.region003
GCA_014220515.1,Region&nbsp11.4,siderophore,Siderophore,1489014.0,1504564,15550.0,putrebactin / avaroferrin,Other,20%,GCA_014220515_contig11.region004
GCA_014220515.1,Region&nbsp21.1,NRPS,NRPS,57862.0,108229,50367.0,,,,GCA_014220515_contig22.region001
GCA_014220515.1,Region&nbsp22.1,NRPS-like,NRPS,191028.0,234120,43092.0,,,,GCA_014220515_contig33.region001
GCA_014220515.1,Region&nbsp22.2,lanthipeptide,RiPPs,518858.0,545239,26381.0,,,,GCA_014220515_contig33.region002
GCA_014220515.1,Region&nbsp25.1,"resorcinol,arylpolyene",Others,8321.0,69558,61237.0,flexirubin,Polyketide,75%,GCA_014220515_contig42.region001
GCA_014220475.1,Region&nbsp11.1,siderophore,Siderophore,105639.0,121189,15550.0,putrebactin / avaroferrin,Other,20%,GCA_014220475_contig046.region001
GCA_014220475.1,Region&nbsp11.2,"NRPS,terpene",NRPS_other,845441.0,889559,44118.0,carotenoid,Terpene,28%,GCA_014220475_contig046.region002
GCA_014220475.1,Region&nbsp11.3,"hglE-KS,T1PKS",PKS_other,911240.0,962552,51312.0,,,,GCA_014220475_contig046.region003
GCA_014220475.1,Region&nbsp11.4,microviridin,RiPPs,1133650.0,1154142,20492.0,,,,GCA_014220475_contig046.region004
GCA_014220475.1,Region&nbsp17.1,NRPS-like,NRPS,154708.0,197800,43092.0,,,,GCA_014220475_contig057.region001
GCA_014220475.1,Region&nbsp18.1,NRPS,NRPS,57878.0,108245,50367.0,,,,GCA_014220475_contig068.region001
GCA_014220475.1,Region&nbsp19.1,bacteriocin,RiPPs,107737.0,118837,11100.0,,,,GCA_014220475_contig079.region001
GCA_014220475.1,Region&nbsp21.1,"resorcinol,arylpolyene",Others,8321.0,69559,61238.0,flexirubin,Polyketide,75%,GCA_014220475_contig101.region001
GCA_004010215.1,Region&nbsp1.1,terpene,terpene,782054.0,802902,20848.0,carotenoid,Terpene,28%,GCA_004010215_contig1.region001
GCA_004010215.1,Region&nbsp1.2,arylpolyene,Others,1062275.0,1102834,40559.0,,,,GCA_004010215_contig1.region002
GCA_004010215.1,Region&nbsp1.3,"bacteriocin,arylpolyene,resorcinol",Others,2005360.0,2064615,59255.0,flexirubin,Polyketide,77%,GCA_004010215_contig1.region003
GCA_004010215.1,Region&nbsp3.1,siderophore,Siderophore,26647.0,41691,15044.0,bisucaberin B,Other,66%,GCA_004010215_contig3.region001
GCA_002332505.1,Region&nbsp2.1,terpene,terpene,414436.0,435281,20845.0,carotenoid,Terpene,28%,GCA_002332505_contig02.region001
GCA_002332505.1,Region&nbsp6.1,T3PKS,PKSIII,27990.0,69042,41052.0,,,,GCA_002332505_contig06.region001
GCA_002332505.1,Region&nbsp6.2,terpene,terpene,628278.0,639767,11489.0,,,,GCA_002332505_contig06.region002
GCA_003730065.1,Region&nbsp1.1,T3PKS,PKSIII,326833.0,367885,41052.0,,,,GCA_003730065_contig1.region001
GCA_003730065.1,Region&nbsp2.1,terpene,terpene,422719.0,443564,20845.0,carotenoid,Terpene,28%,GCA_003730065_contig2.region001
GCA_013403865.1,Region&nbsp11.1,T3PKS,PKSIII,1088862.0,1129914,41052.0,,,,GCA_013403865_contig11.region001
GCA_013403865.1,Region&nbsp22.1,terpene,terpene,317178.0,355430,38252.0,carotenoid,Terpene,28%,GCA_013403865_contig22.region001
GCA_013403865.1,Region&nbsp34.1,"NRPS,T1PKS",NRPS_PKS_hybrid,228362.0,282582,54220.0,,,,GCA_013403865_contig44.region001
GCA_900186345.1,Region&nbsp25.1,siderophore,Siderophore,5039.0,16769,11730.0,,,,GCA_900186345_contig25.region001
GCA_900186345.1,Region&nbsp30.1,terpene,terpene,28133.0,52606,24473.0,carotenoid,Terpene,28%,GCA_900186345_contig30.region001
GCA_900186345.1,Region&nbsp32.1,"arylpolyene,resorcinol",Others,28754.0,85862,57108.0,flexirubin,Polyketide,86%,GCA_900186345_contig32.region001
GCA_000318315.2,Region&nbsp2.1,arylpolyene,Others,1.0,14826,14825.0,flexirubin,Polyketide,11%,GCA_000318315_contig02.region001
GCA_000318315.2,Region&nbsp17.1,resorcinol,Others,1.0,34919,34918.0,flexirubin,Polyketide,13%,GCA_000318315_contig18.region001
GCA_000318315.2,Region&nbsp45.1,arylpolyene,Others,59237.0,100325,41088.0,,,,GCA_000318315_contig51.region001
GCA_000318315.2,Region&nbsp47.1,arylpolyene,Others,67992.0,89526,21534.0,,,,GCA_000318315_contig53.region001
GCA_005937185.1,Region&nbsp1.1,T3PKS,PKSIII,743729.0,784784,41055.0,,,,GCA_005937185_contig01.region001
GCA_005937185.1,Region&nbsp7.1,terpene,terpene,619216.0,640382,21166.0,,,,GCA_005937185_contig07.region001
GCA_005937185.1,Region&nbsp7.2,resorcinol,Others,1662180.0,1704030,41850.0,,,,GCA_005937185_contig07.region002
GCA_005937185.1,Region&nbsp9.1,resorcinol,Others,125401.0,167251,41850.0,,,,GCA_005937185_contig09.region001
GCA_005937185.1,Region&nbsp10.1,terpene,terpene,65552.0,86391,20839.0,carotenoid,Terpene,28%,GCA_005937185_contig10.region001
GCA_002899945.2,Region&nbsp1.1,NRPS-like,NRPS,469138.0,512245,43107.0,,,,GCA_002899945_contig01.region001
GCA_002899945.2,Region&nbsp1.2,lanthipeptide,RiPPs,677569.0,703929,26360.0,,,,GCA_002899945_contig01.region002
GCA_002899945.2,Region&nbsp2.1,"arylpolyene,resorcinol",Others,204137.0,269984,65847.0,flexirubin,Polyketide,75%,GCA_002899945_contig02.region001
GCA_002899945.2,Region&nbsp12.1,microviridin,RiPPs,162709.0,183225,20516.0,,,,GCA_002899945_contig12.region001
GCA_002899945.2,Region&nbsp12.2,"T1PKS,hglE-KS,terpene",PKS_other,279385.0,338008,58623.0,carotenoid,Terpene,28%,GCA_002899945_contig12.region002
GCA_002899945.2,Region&nbsp12.3,bacteriocin,RiPPs,566845.0,578998,12153.0,,,,GCA_002899945_contig12.region003
GCA_002899945.2,Region&nbsp22.1,bacteriocin,RiPPs,472871.0,483941,11070.0,,,,GCA_002899945_contig23.region001
GCA_002899945.2,Region&nbsp23.1,NRPS-like,NRPS,265665.0,309588,43923.0,,,,GCA_002899945_contig34.region001
GCA_002899945.2,Region&nbsp23.2,lanthipeptide,RiPPs,381809.0,406010,24201.0,,,,GCA_002899945_contig34.region002
GCA_002899945.2,Region&nbsp27.1,siderophore,Siderophore,103192.0,118728,15536.0,putrebactin / avaroferrin,Other,20%,GCA_002899945_contig59.region001
GCA_006386525.1,Region&nbsp6.1,lassopeptide,RiPPs,188127.0,210435,22308.0,,,,GCA_006386525_contig07.region001
GCA_006386525.1,Region&nbsp7.1,betalactone,Others,148594.0,181649,33055.0,,,,GCA_006386525_contig08.region001
GCA_006386525.1,Region&nbsp8.1,terpene,terpene,439970.0,461115,21145.0,,,,GCA_006386525_contig09.region001
GCA_006386525.1,Region&nbsp9.1,terpene,terpene,12496.0,33338,20842.0,carotenoid,Terpene,28%,GCA_006386525_contig10.region001
GCA_006386525.1,Region&nbsp11.1,T3PKS,PKSIII,45557.0,86765,41208.0,,,,GCA_006386525_contig12.region001
GCA_004803875.1,Region&nbsp1,terpene,terpene,140783.0,161625,20842.0,carotenoid,Terpene,28%,GCA_004803875_contig1.region001
GCA_004803875.1,Region&nbsp2,siderophore,Siderophore,3186855.0,3201686,14831.0,bisucaberin B,Other,100%,GCA_004803875_contig1.region002
GCA_009921505.1,Region&nbsp202.1,terpene,terpene,,15582,,carotenoid,Terpene,28%,GCA_009921505_contig202.region001
GCA_003633605.1,Region&nbsp1,terpene,terpene,866019.0,884569,18550.0,carotenoid,Terpene,28%,GCA_003633605_contig1.region001
GCA_003633605.1,Region&nbsp2,"betalactone,T3PKS",PKSIII,1492126.0,1535736,43610.0,,,,GCA_003633605_contig1.region002
GCA_003633605.1,Region&nbsp3,T3PKS,PKSIII,2435718.0,2476938,41220.0,,,,GCA_003633605_contig1.region003
GCA_003633605.1,Region&nbsp4,terpene,terpene,3555362.0,3576537,21175.0,bacillomycin D,Polyketide + NRP:Lipopeptide,20%,GCA_003633605_contig1.region004
GCA_900105135.1,Region&nbsp1,arylpolyene,Others,689903.0,733083,43180.0,flexirubin,Polyketide,30%,GCA_900105135_contig1.region001
GCA_900105135.1,Region&nbsp2,T3PKS,PKSIII,754896.0,796011,41115.0,,,,GCA_900105135_contig1.region002
GCA_900105135.1,Region&nbsp3,terpene,terpene,3115709.0,3138161,22452.0,carotenoid,Terpene,28%,GCA_900105135_contig1.region003
GCA_009360455.1,Region&nbsp1.1,"resorcinol,arylpolyene",Others,117856.0,178814,60958.0,flexirubin,Polyketide,75%,GCA_009360455_contig01.region001
GCA_009360455.1,Region&nbsp12.1,terpene,terpene,1.0,18542,18541.0,,,,GCA_009360455_contig12.region001
GCA_009360455.1,Region&nbsp16.1,terpene,terpene,101944.0,122780,20836.0,carotenoid,Terpene,28%,GCA_009360455_contig16.region001
GCA_002814075.1,Region&nbsp1,T3PKS,PKSIII,1498059.0,1539111,41052.0,,,,GCA_002814075_contig1.region001
GCA_002814075.1,Region&nbsp2,terpene,terpene,3122544.0,3145030,22486.0,carotenoid,Terpene,28%,GCA_002814075_contig1.region002
GCA_004214015.1,Region&nbsp36.1,terpene,terpene,11393.0,26676,15283.0,,,,GCA_004214015_contig36.region001
GCA_011050675.1,Region&nbsp13.1,terpene,terpene,23304.0,44143,20839.0,carotenoid,Terpene,28%,GCA_011050675_contig13.region001
GCA_011050675.1,Region&nbsp17.1,terpene,terpene,292883.0,314025,21142.0,,,,GCA_011050675_contig17.region001
GCA_011050675.1,Region&nbsp23.1,T3PKS,PKSIII,366383.0,407438,41055.0,,,,GCA_011050675_contig23.region001
GCA_002364535.1,Region&nbsp44.1,terpene,terpene,18196.0,39035,20839.0,,,,GCA_002364535_contig44.region001
GCA_002364535.1,Region&nbsp56.1,terpene,terpene,1.0,20633,20632.0,,,,GCA_002364535_contig56.region001
GCA_002364535.1,Region&nbsp62.1,T3PKS,PKSIII,36547.0,77599,41052.0,,,,GCA_002364535_contig62.region001
GCA_003935165.1,Region&nbsp3.1,arylpolyene,Others,1.0,24068,24067.0,flexirubin,Polyketide,16%,GCA_003935165_contig006.region001
GCA_003935165.1,Region&nbsp24.1,"arylpolyene,resorcinol",Others,4426.0,32615,28189.0,flexirubin,Polyketide,50%,GCA_003935165_contig027.region001
GCA_003935165.1,Region&nbsp39.1,terpene,terpene,1.0,15257,15256.0,carotenoid,Terpene,28%,GCA_003935165_contig042.region001
GCA_002721275.1,Region&nbsp2.1,T3PKS,PKSIII,173716.0,196992,23276.0,,,,GCA_002721275_contig02.region001
GCA_002721275.1,Region&nbsp3.1,terpene,terpene,11002.0,32141,21139.0,,,,GCA_002721275_contig03.region001
GCA_902705365.1,Region&nbsp1.1,terpene,terpene,2002.0,22844,20842.0,carotenoid,Terpene,28%,GCA_902705365_contig01.region001
GCA_902705365.1,Region&nbsp60.1,siderophore,Siderophore,136828.0,151659,14831.0,bisucaberin B,Other,100%,GCA_902705365_contig60.region001
GCA_002789175.1,Region&nbsp22.1,T3PKS,PKSIII,1.0,35810,35809.0,,,,GCA_002789175_contig22.region001
GCA_002789175.1,Region&nbsp24.1,terpene,terpene,68931.0,91442,22511.0,carotenoid,Terpene,28%,GCA_002789175_contig24.region001
GCA_013249065.1,Region&nbsp19.1,terpene,terpene,14239.0,50982,36743.0,carotenoid,Terpene,28%,GCA_013249065_contig22.region001
GCA_001879205.1,Region&nbsp1.1,terpene,terpene,345415.0,366254,20839.0,carotenoid,Terpene,28%,GCA_001879205_contig01.region001
GCA_001879205.1,Region&nbsp9.1,terpene,terpene,92017.0,113240,21223.0,,,,GCA_001879205_contig09.region001
GCA_001879205.1,Region&nbsp9.2,"arylpolyene,resorcinol",Others,260223.0,314070,53847.0,flexirubin,Polyketide,91%,GCA_001879205_contig09.region002
GCA_001879205.1,Region&nbsp13.1,T3PKS,PKSIII,48694.0,89782,41088.0,,,,GCA_001879205_contig13.region001
GCA_001879205.1,Region&nbsp13.2,lanthipeptide,RiPPs,104007.0,129221,25214.0,,,,GCA_001879205_contig13.region002
GCA_001879205.1,Region&nbsp13.3,betalactone,Others,476694.0,507347,30653.0,,,,GCA_001879205_contig13.region003
GCA_002454195.1,Region&nbsp24.1,terpene,terpene,58960.0,79802,20842.0,carotenoid,Terpene,28%,GCA_002454195_contig24.region001
GCA_002454195.1,Region&nbsp37.1,lassopeptide,RiPPs,4808.0,29128,24320.0,,,,GCA_002454195_contig37.region001
GCA_002454195.1,Region&nbsp37.2,terpene,terpene,86971.0,108116,21145.0,,,,GCA_002454195_contig37.region002
GCA_000827695.1,Region&nbsp29.1,arylpolyene,Others,48094.0,89227,41133.0,,,,GCA_000827695_contig101.region001
GCA_004365655.1,Region&nbsp1.1,terpene,terpene,1062295.0,1083131,20836.0,carotenoid,Terpene,28%,GCA_004365655_contig01.region001
GCA_004365655.1,Region&nbsp2.1,"resorcinol,arylpolyene",Others,290124.0,339903,49779.0,flexirubin,Polyketide,41%,GCA_004365655_contig02.region001
GCA_004365655.1,Region&nbsp2.2,arylpolyene,Others,938899.0,980119,41220.0,flexirubin,Polyketide,36%,GCA_004365655_contig02.region002
GCA_900610145.1,Region&nbsp38.1,"arylpolyene,resorcinol",Others,20899.0,78007,57108.0,flexirubin,Polyketide,86%,GCA_900610145_contig045.region001
GCA_900610145.1,Region&nbsp53.1,siderophore,Siderophore,5037.0,16767,11730.0,,,,GCA_900610145_contig061.region001
GCA_900610145.1,Region&nbsp61.1,terpene,terpene,23681.0,48154,24473.0,carotenoid,Terpene,28%,GCA_900610145_contig070.region001
GCA_900109075.1,Region&nbsp13.1,"arylpolyene,resorcinol",Others,356941.0,409330,52389.0,flexirubin,Polyketide,69%,GCA_900109075_contig13.region001
GCA_000799455.1,Region&nbsp1.1,terpene,terpene,133196.0,154032,20836.0,carotenoid,Terpene,28%,GCA_000799455_contig02.region001
GCA_000799455.1,Region&nbsp2.1,siderophore,Siderophore,597039.0,612576,15537.0,putrebactin / avaroferrin,Other,20%,GCA_000799455_contig03.region001
GCA_000799455.1,Region&nbsp7.1,"resorcinol,arylpolyene",Others,12197.0,73395,61198.0,flexirubin,Polyketide,75%,GCA_000799455_contig08.region001
GCA_000799455.1,Region&nbsp11.1,"T1PKS,hglE-KS",PKS_other,57438.0,108697,51259.0,,,,GCA_000799455_contig12.region001
GCA_002251775.1,Region&nbsp115.1,terpene,terpene,1.0,13553,13552.0,,,,GCA_002251775_contig124.region001
GCA_002251775.1,Region&nbsp156.1,T3PKS,PKSIII,17596.0,57823,40227.0,,,,GCA_002251775_contig165.region001
GCA_002251775.1,Region&nbsp191.1,terpene,terpene,7899.0,28738,20839.0,carotenoid,Terpene,28%,GCA_002251775_contig202.region001
GCA_002251775.1,Region&nbsp214.1,arylpolyene,Others,17527.0,42637,25110.0,,,,GCA_002251775_contig225.region001
GCA_002702745.1,Region&nbsp31.1,terpene,terpene,,13049,,,,,GCA_002702745_contig31.region001
GCA_002754245.1,Region&nbsp1,ladderane,Others,595998.0,637224,41226.0,,,,GCA_002754245_contig1.region001
GCA_002754245.1,Region&nbsp2,"arylpolyene,resorcinol",Others,1128664.0,1196348,67684.0,flexirubin,Polyketide,75%,GCA_002754245_contig1.region002
GCA_002754245.1,Region&nbsp3,"NRPS,T1PKS",NRPS_PKS_hybrid,1735218.0,1885155,149937.0,,,,GCA_002754245_contig1.region003
GCA_002754245.1,Region&nbsp4,lanthipeptide,RiPPs,2642700.0,2666086,23386.0,,,,GCA_002754245_contig1.region004
GCA_002754245.1,Region&nbsp5,bacteriocin,RiPPs,2813359.0,2824453,11094.0,,,,GCA_002754245_contig1.region005
GCA_002754245.1,Region&nbsp6,siderophore,Siderophore,3146134.0,3161688,15554.0,putrebactin / avaroferrin,Other,20%,GCA_002754245_contig1.region006
GCA_002754245.1,Region&nbsp7,NRPS,NRPS,3405545.0,3451619,46074.0,,,,GCA_002754245_contig1.region007
GCA_002754245.1,Region&nbsp8,lanthipeptide,RiPPs,3633479.0,3658892,25413.0,pinensins,RiPP,17%,GCA_002754245_contig1.region008
GCA_002754245.1,Region&nbsp9,"terpene,T1PKS,hglE-KS",PKS_other,4039318.0,4102707,63389.0,carotenoid,Terpene,28%,GCA_002754245_contig1.region009
GCA_002754245.1,Region&nbsp10,microviridin,RiPPs,4203403.0,4224204,20801.0,,,,GCA_002754245_contig1.region010
GCA_002862715.1,Region&nbsp5.1,terpene,terpene,,20576,,,,,GCA_002862715_contig005.region001
GCA_002862715.1,Region&nbsp19.1,terpene,terpene,,13327,,,,,GCA_002862715_contig019.region001
GCA_009827885.1,Region&nbsp19.1,"hglE-KS,T1PKS",PKS_other,46515.0,97991,51476.0,,,,GCA_009827885_contig29.region001
GCA_900101815.1,Region&nbsp14.1,terpene,terpene,50925.0,71764,20839.0,carotenoid,Terpene,28%,GCA_900101815_contig14.region001
GCA_900101815.1,Region&nbsp15.1,arylpolyene,Others,193738.0,232551,38813.0,,,,GCA_900101815_contig15.region001
GCA_900101815.1,Region&nbsp15.2,"terpene,arylpolyene,resorcinol",Others,246762.0,317147,70385.0,flexirubin,Polyketide,69%,GCA_900101815_contig15.region002
GCA_900101815.1,Region&nbsp19.1,"T3PKS,arylpolyene",PKSIII,290997.0,334703,43706.0,,,,GCA_900101815_contig19.region001
GCA_900101815.1,Region&nbsp44.1,NRPS,NRPS,302275.0,353922,51647.0,CDA1b / CDA2a / CDA2b / CDA3a / CDA3b / CDA4a / CDA4b,NRP:Ca+-dependent lipopeptide,5%,GCA_900101815_contig44.region001
GCA_011525195.1,Region&nbsp77.1,terpene,terpene,,9413,,,,,GCA_011525195_contig077.region001
GCA_011525195.1,Region&nbsp140.1,terpene,terpene,,5713,,,,,GCA_011525195_contig140.region001
GCA_003455905.1,Region&nbsp43.1,microviridin,RiPPs,,6379,,,,,GCA_003455905_contig043.region001
GCA_003455905.1,Region&nbsp335.1,"arylpolyene,resorcinol",Others,,57353,,flexirubin,Polyketide,77%,GCA_003455905_contig335.region001
GCA_003455905.1,Region&nbsp432.1,terpene,terpene,,7778,,carotenoid,Terpene,28%,GCA_003455905_contig432.region001
GCA_002169155.2,Region&nbsp12.1,terpene,terpene,820.0,14177,13357.0,,,,GCA_002169155_contig12.region001
GCA_002169155.2,Region&nbsp31.1,terpene,terpene,5523.0,26674,21151.0,,,,GCA_002169155_contig31.region001
GCA_002169155.2,Region&nbsp37.1,T3PKS,PKSIII,1.0,22703,22702.0,,,,GCA_002169155_contig37.region001
GCA_001800975.1,Region&nbsp26.1,terpene,terpene,100208.0,121047,20839.0,carotenoid,Terpene,28%,GCA_001800975_contig26.region001
GCA_002413745.1,Region&nbsp35.1,"resorcinol,arylpolyene",Others,109171.0,158398,49227.0,flexirubin,Polyketide,58%,GCA_002413745_contig35.region001
GCA_002413745.1,Region&nbsp51.1,T3PKS,PKSIII,170969.0,212057,41088.0,,,,GCA_002413745_contig51.region001
GCA_003386165.1,Region&nbsp6.1,"arylpolyene,resorcinol",Others,40046.0,93741,53695.0,flexirubin,Polyketide,72%,GCA_003386165_contig06.region001
GCA_003386165.1,Region&nbsp7.1,terpene,terpene,16746.0,37585,20839.0,carotenoid,Terpene,28%,GCA_003386165_contig07.region001
GCA_003386165.1,Region&nbsp10.1,terpene,terpene,124019.0,145158,21139.0,,,,GCA_003386165_contig10.region001
GCA_001464475.1,Region&nbsp1.1,terpene,terpene,314973.0,336109,21136.0,bacillomycin D,Polyketide + NRP:Lipopeptide,20%,GCA_001464475_contig01.region001
GCA_001464475.1,Region&nbsp9.1,terpene,terpene,91832.0,112671,20839.0,carotenoid,Terpene,28%,GCA_001464475_contig10.region001
GCA_000812825.1,Region&nbsp34.1,"arylpolyene,resorcinol",Others,44278.0,96667,52389.0,flexirubin,Polyketide,69%,GCA_000812825_contig046.region001
GCA_002710945.1,Region&nbsp5.1,terpene,terpene,110110.0,130949,20839.0,carotenoid,Terpene,28%,GCA_002710945_contig05.region001
GCA_002710945.1,Region&nbsp5.2,arylpolyene,Others,594894.0,636165,41271.0,,,,GCA_002710945_contig05.region002
GCA_002710945.1,Region&nbsp11.1,terpene,terpene,386586.0,407734,21148.0,,,,GCA_002710945_contig11.region001
GCA_002710945.1,Region&nbsp18.1,T3PKS,PKSIII,109448.0,150569,41121.0,,,,GCA_002710945_contig18.region001
GCA_000732625.1,Region&nbsp7.1,terpene,terpene,102992.0,127476,24484.0,carotenoid,Terpene,28%,GCA_000732625_contig12.region001
GCA_000732625.1,Region&nbsp19.1,arylpolyene,Others,696108.0,737238,41130.0,,,,GCA_000732625_contig32.region001
GCA_000732625.1,Region&nbsp19.2,T3PKS,PKSIII,1625686.0,1660217,34531.0,,,,GCA_000732625_contig32.region002
GCA_002711215.1,Region&nbsp6.1,terpene,terpene,1.0,12666,12665.0,,,,GCA_002711215_contig06.region001
GCA_002711215.1,Region&nbsp24.1,terpene,terpene,29645.0,50778,21133.0,,,,GCA_002711215_contig24.region001
GCA_014305175.1,Region&nbsp47.1,"T3PKS,betalactone",PKSIII,1.0,37623,37622.0,,,,GCA_014305175_contig047.region001
GCA_014305175.1,Region&nbsp81.1,terpene,terpene,4981.0,19522,14541.0,carotenoid,Terpene,28%,GCA_014305175_contig081.region001
GCA_014305175.1,Region&nbsp99.1,"arylpolyene,resorcinol",Others,45612.0,99907,54295.0,flexirubin,Polyketide,83%,GCA_014305175_contig099.region001
GCA_014305175.1,Region&nbsp110.1,terpene,terpene,84137.0,100421,16284.0,,,,GCA_014305175_contig110.region001
GCA_900186445.1,Region&nbsp18.1,terpene,terpene,35437.0,59910,24473.0,carotenoid,Terpene,28%,GCA_900186445_contig18.region001
GCA_900186445.1,Region&nbsp37.1,"arylpolyene,resorcinol",Others,9982.0,68553,58571.0,flexirubin,Polyketide,86%,GCA_900186445_contig37.region001
GCA_002023365.1,Region&nbsp2.1,NRPS-like,NRPS,441460.0,485380,43920.0,,,,GCA_002023365_contig02.region001
GCA_002023365.1,Region&nbsp9.1,terpene,terpene,204316.0,225152,20836.0,carotenoid,Terpene,28%,GCA_002023365_contig14.region001
GCA_002023365.1,Region&nbsp9.2,lanthipeptide,RiPPs,521375.0,546785,25410.0,pinensins,RiPP,11%,GCA_002023365_contig14.region002
GCA_002023365.1,Region&nbsp11.1,siderophore,Siderophore,171095.0,182909,11814.0,bisucaberin B,Other,83%,GCA_002023365_contig16.region001
GCA_002023365.1,Region&nbsp13.1,lanthipeptide,RiPPs,219190.0,244373,25183.0,,,,GCA_002023365_contig18.region001
GCA_002692745.1,Region&nbsp38.1,"arylpolyene,T3PKS",PKSIII,,15750,,,,,GCA_002692745_contig038.region001
GCA_002692745.1,Region&nbsp146.1,arylpolyene,Others,,19696,,flexirubin,Polyketide,22%,GCA_002692745_contig146.region001
GCA_007279605.1,Region&nbsp1.1,terpene,terpene,621752.0,642909,21157.0,,,,GCA_007279605_contig01.region001
GCA_007279605.1,Region&nbsp16.1,terpene,terpene,30396.0,51235,20839.0,carotenoid,Terpene,28%,GCA_007279605_contig16.region001
GCA_007997375.1,Region&nbsp6.1,terpene,terpene,6323.0,28777,22454.0,carotenoid,Terpene,28%,GCA_007997375_contig11.region001
GCA_007997375.1,Region&nbsp76.1,T3PKS,PKSIII,102757.0,143809,41052.0,ET-743,NRP:Beta-lactam,8%,GCA_007997375_contig91.region001
GCA_900129545.1,Region&nbsp4.1,"arylpolyene,resorcinol",Others,20296.0,73341,53045.0,flexirubin,Polyketide,86%,GCA_900129545_contig04.region001
GCA_900129545.1,Region&nbsp8.1,terpene,terpene,312234.0,333073,20839.0,carotenoid,Terpene,28%,GCA_900129545_contig08.region001
GCA_900129545.1,Region&nbsp12.1,T3PKS,PKSIII,79640.0,115668,36028.0,,,,GCA_900129545_contig12.region001
GCA_900129545.1,Region&nbsp23.1,T3PKS,PKSIII,115319.0,156407,41088.0,,,,GCA_900129545_contig23.region001
GCA_004378585.1,Region&nbsp10.1,terpene,terpene,752392.0,773231,20839.0,carotenoid,Terpene,42%,GCA_004378585_contig12.region001
GCA_900104375.1,Region&nbsp1,terpene,terpene,1602145.0,1624605,22460.0,carotenoid,Terpene,28%,GCA_900104375_contig1.region001
GCA_900104375.1,Region&nbsp2,arylpolyene,Others,2866325.0,2910114,43789.0,flexirubin,Polyketide,38%,GCA_900104375_contig1.region002
GCA_900104375.1,Region&nbsp3,T3PKS,PKSIII,2912649.0,2953701,41052.0,,,,GCA_900104375_contig1.region003
GCA_900104375.1,Region&nbsp4,arylpolyene,Others,3238763.0,3279923,41160.0,,,,GCA_900104375_contig1.region004
GCA_009764715.1,Region&nbsp9.1,siderophore,Siderophore,1.0,10372,10371.0,putrebactin / avaroferrin,Other,20%,GCA_009764715_contig010.region001
GCA_009764715.1,Region&nbsp22.1,"betalactone,T3PKS",PKSIII,3578.0,47252,43674.0,,,,GCA_009764715_contig023.region001
GCA_009764715.1,Region&nbsp31.1,lanthipeptide,RiPPs,11798.0,35906,24108.0,,,,GCA_009764715_contig055.region001
GCA_009764715.1,Region&nbsp60.1,terpene,terpene,121728.0,142879,21151.0,,,,GCA_009764715_contig104.region001
GCA_009764715.1,Region&nbsp72.1,terpene,terpene,40143.0,60982,20839.0,carotenoid,Terpene,28%,GCA_009764715_contig125.region001
GCA_002023765.1,Region&nbsp3.1,siderophore,Siderophore,169022.0,180836,11814.0,bisucaberin B,Other,83%,GCA_002023765_contig03.region001
GCA_002023765.1,Region&nbsp7.1,NRPS-like,NRPS,140064.0,183984,43920.0,,,,GCA_002023765_contig07.region001
GCA_002023765.1,Region&nbsp12.1,lanthipeptide,RiPPs,94162.0,119572,25410.0,pinensins,RiPP,11%,GCA_002023765_contig12.region001
GCA_014219425.1,Region&nbsp11.1,terpene,terpene,546132.0,566968,20836.0,carotenoid,Terpene,28%,GCA_014219425_contig11.region001
GCA_014219425.1,Region&nbsp21.1,siderophore,Siderophore,123701.0,135521,11820.0,putrebactin / avaroferrin,Other,40%,GCA_014219425_contig25.region001
GCA_002429285.1,Region&nbsp4.1,"arylpolyene,resorcinol",Others,27657.0,76884,49227.0,flexirubin,Polyketide,58%,GCA_002429285_contig004.region001
GCA_002429285.1,Region&nbsp21.1,T3PKS,PKSIII,1049.0,42110,41061.0,,,,GCA_002429285_contig021.region001
GCA_002429285.1,Region&nbsp95.1,T3PKS,PKSIII,149811.0,190899,41088.0,,,,GCA_002429285_contig095.region001
GCA_003182335.1,Region&nbsp4.1,NRPS-like,NRPS,161493.0,204600,43107.0,,,,GCA_003182335_contig04.region001
GCA_003182335.1,Region&nbsp8.1,terpene,terpene,47993.0,68829,20836.0,carotenoid,Terpene,28%,GCA_003182335_contig08.region001
GCA_003182335.1,Region&nbsp9.1,"resorcinol,arylpolyene",Others,8467.0,71079,62612.0,flexirubin,Polyketide,75%,GCA_003182335_contig09.region001
