,Assembly accession,ORFs,CAZymes,Peptidases,index,Merops orfs total
464,GCA_903969135.1,4736,115,,GCA_903969135.1,215
465,GCA_002705485.1,1473,21,,GCA_002705485.1,64
466,GCA_900106865.1,2758,69,,GCA_900106865.1,128
467,GCA_009360585.1,3725,112,,GCA_009360585.1,153
468,GCA_902705385.1,3085,40,,GCA_902705385.1,118
469,GCA_003526165.1,2002,37,,GCA_003526165.1,74
470,GCA_900610205.1,2416,56,,GCA_900610205.1,109
471,GCA_013401995.1,3575,100,,GCA_013401995.1,158
472,GCA_900447425.1,4056,114,,GCA_900447425.1,173
473,GCA_013333305.2,1185,38,,GCA_013333305.2,38
474,GCA_002429685.1,5169,89,,GCA_002429685.1,198
475,GCA_900141665.1,2155,45,,GCA_900141665.1,80
476,GCA_009827225.1,2990,61,,GCA_009827225.1,122
477,GCA_900683405.1,4551,96,,GCA_900683405.1,203
478,GCA_900610085.1,2375,57,,GCA_900610085.1,105
479,GCA_002430205.1,1605,37,,GCA_002430205.1,77
480,GCA_002683495.1,2967,48,,GCA_002683495.1,114
481,GCA_902506345.1,3122,122,,GCA_902506345.1,131
482,GCA_002425465.1,3126,51,,GCA_002425465.1,122
483,GCA_001874325.1,2348,41,,GCA_001874325.1,90
484,GCA_012272815.1,3278,87,,GCA_012272815.1,148
485,GCA_002793215.1,2189,49,,GCA_002793215.1,113
486,GCA_007827465.1,2600,58,,GCA_007827465.1,120
487,GCA_002728855.1,1468,32,,GCA_002728855.1,78
488,GCA_003290185.1,4446,122,,GCA_003290185.1,207
489,GCA_014219425.1,3708,106,,GCA_014219425.1,154
490,GCA_003970695.1,3521,97,,GCA_003970695.1,167
491,GCA_000060345.1,3446,114,,GCA_000060345.1,139
492,GCA_002895435.1,5012,97,,GCA_002895435.1,222
493,GCA_900130045.1,3412,171,,GCA_900130045.1,143
494,GCA_003006795.1,7062,97,,GCA_003006795.1,207
495,GCA_000754405.1,2349,57,,GCA_000754405.1,107
496,GCA_900445675.1,2389,35,,GCA_900445675.1,88
497,GCA_003217215.1,2996,68,,GCA_003217215.1,125
498,GCA_900129275.1,4559,186,,GCA_900129275.1,170
499,GCA_011316665.1,2956,55,,GCA_011316665.1,128
500,GCA_004341235.1,3983,221,,GCA_004341235.1,122
501,GCA_900114005.1,3171,74,,GCA_900114005.1,117
502,GCA_000318315.2,2318,91,,GCA_000318315.2,83
503,GCA_900100075.1,4581,83,,GCA_900100075.1,211
504,GCA_002784685.1,2763,80,,GCA_002784685.1,111
505,GCA_011007495.1,3004,33,,GCA_011007495.1,111
506,GCA_900176425.1,2951,64,,GCA_900176425.1,136
507,GCA_011082725.1,1997,30,,GCA_011082725.1,85
508,GCA_003533785.1,1402,29,,GCA_003533785.1,70
509,GCA_002893085.1,4101,85,,GCA_002893085.1,162
510,GCA_002476825.1,4320,93,,GCA_002476825.1,196
511,GCA_003449565.1,3703,37,,GCA_003449565.1,88
512,GCA_002888615.1,3673,105,,GCA_002888615.1,165
513,GCA_900186945.1,2010,38,,GCA_900186945.1,84
514,GCA_009735695.1,3592,112,,GCA_009735695.1,173
515,GCA_002167435.2,3971,84,,GCA_002167435.2,173
516,GCA_000799195.1,4247,129,,GCA_000799195.1,171
517,GCA_001809725.1,2112,46,,GCA_001809725.1,98
518,GCA_002814055.1,3472,192,,GCA_002814055.1,145
519,GCA_006778585.1,2445,57,,GCA_006778585.1,105
520,GCA_001045455.1,3724,94,,GCA_001045455.1,141
521,GCA_003331885.1,839,16,,GCA_003331885.1,43
522,GCA_900112395.1,3920,199,,GCA_900112395.1,140
523,GCA_002726175.1,2674,54,,GCA_002726175.1,104
524,GCA_014220605.1,4347,94,,GCA_014220605.1,194
525,GCA_002415015.1,3009,60,,GCA_002415015.1,126
526,GCA_008367275.1,4276,154,,GCA_008367275.1,160
527,GCA_012911565.1,3291,102,,GCA_012911565.1,143
528,GCA_003729935.1,4369,90,,GCA_003729935.1,191
529,GCA_000834715.1,4832,253,,GCA_000834715.1,187
530,GCA_002754315.1,3242,109,,GCA_002754315.1,145
531,GCA_900099675.1,2532,31,,GCA_900099675.1,107
532,GCA_013373105.1,2207,58,,GCA_013373105.1,112
533,GCA_007845635.1,2339,28,,GCA_007845635.1,77
534,GCA_001521735.1,3927,107,,GCA_001521735.1,176
535,GCA_003054265.1,4051,84,,GCA_003054265.1,173
536,GCA_000747685.1,3634,74,,GCA_000747685.1,120
537,GCA_003513625.1,3240,65,,GCA_003513625.1,123
538,GCA_000827735.1,2342,81,,GCA_000827735.1,88
539,GCA_001418085.1,3329,65,,GCA_001418085.1,138
540,GCA_900299525.1,5154,99,,GCA_900299525.1,277
541,GCA_002746415.1,3437,111,,GCA_002746415.1,165
542,GCA_002806995.1,2979,117,,GCA_002806995.1,123
543,GCA_007097295.1,3551,119,,GCA_007097295.1,138
544,GCA_000258765.1,3038,66,,GCA_000258765.1,130
545,GCA_000689455.1,3663,107,,GCA_000689455.1,163
546,GCA_000246945.2,2983,33,,GCA_000246945.2,123
547,GCA_900182655.1,4605,127,,GCA_900182655.1,222
548,GCA_014219345.1,3705,106,,GCA_014219345.1,153
549,GCA_014219395.1,3771,107,,GCA_014219395.1,155
550,GCA_008124875.1,2942,67,,GCA_008124875.1,128
551,GCA_006539745.1,3474,254,,GCA_006539745.1,104
552,GCA_001549985.1,3572,35,,GCA_001549985.1,131
553,GCA_002197835.1,2578,77,,GCA_002197835.1,123
554,GCA_006065315.1,4399,214,,GCA_006065315.1,180
555,GCA_002364405.1,2968,101,,GCA_002364405.1,116
556,GCA_003504555.1,2496,20,,GCA_003504555.1,83
557,GCA_002023425.1,3526,108,,GCA_002023425.1,165
558,GCA_900489465.1,3227,55,,GCA_900489465.1,131
559,GCA_009800945.1,1916,40,,GCA_009800945.1,82
560,GCA_002698705.1,1610,51,,GCA_002698705.1,77
561,GCA_900089075.1,2329,40,,GCA_900089075.1,108
562,GCA_014486675.1,3113,60,,GCA_014486675.1,117
563,GCA_900129105.1,5026,96,,GCA_900129105.1,219
564,GCA_011316575.1,2958,55,,GCA_011316575.1,128
565,GCA_004797125.1,2637,77,,GCA_004797125.1,122
566,GCA_011050015.1,3182,102,,GCA_011050015.1,123
567,GCA_900130035.1,2757,191,,GCA_900130035.1,97
568,GCA_000477035.2,4000,136,,GCA_000477035.2,155
569,GCA_002296885.1,2134,46,,GCA_002296885.1,93
570,GCA_012032075.1,4385,62,,GCA_012032075.1,138
571,GCA_002294105.1,2563,53,,GCA_002294105.1,100
572,GCA_003024155.1,3849,200,,GCA_003024155.1,138
573,GCA_900610385.1,2643,58,,GCA_900610385.1,106
574,GCA_900609985.1,2378,55,,GCA_900609985.1,108
575,GCA_009690665.1,1925,34,,GCA_009690665.1,82
576,GCA_000224085.1,3473,83,,GCA_000224085.1,154
577,GCA_009371985.2,4049,114,,GCA_009371985.2,197
578,GCA_001889045.1,2710,48,,GCA_001889045.1,121
579,GCA_002078605.1,2934,93,,GCA_002078605.1,122
580,GCA_002150255.1,2486,56,,GCA_002150255.1,107
581,GCA_001580475.1,2831,68,,GCA_001580475.1,119
582,GCA_001995115.1,2844,64,,GCA_001995115.1,120
583,GCA_900186375.1,2395,56,,GCA_900186375.1,108
584,GCA_002352205.1,3260,91,,GCA_002352205.1,135
585,GCA_900111025.1,2965,134,,GCA_900111025.1,112
586,GCA_000430645.1,5540,165,,GCA_000430645.1,233
587,GCA_002943715.1,4022,81,,GCA_002943715.1,178
588,GCA_008386635.1,3780,104,,GCA_008386635.1,179
589,GCA_002482975.1,5156,245,,GCA_002482975.1,186
590,GCA_009807485.1,3849,192,,GCA_009807485.1,131
591,GCA_900188415.1,3695,128,,GCA_900188415.1,163
592,GCA_012911605.1,2661,69,,GCA_012911605.1,104
593,GCA_903819335.1,4760,243,,GCA_903819335.1,180
594,GCA_002354475.1,2615,60,,GCA_002354475.1,115
595,GCA_902167275.1,5242,273,,GCA_902167275.1,184
596,GCA_001401755.1,4811,67,,GCA_001401755.1,184
597,GCA_003455795.1,1835,21,,GCA_003455795.1,70
598,GCA_002389535.1,1349,31,,GCA_002389535.1,64
599,GCA_900108015.1,3073,80,,GCA_900108015.1,140
600,GCA_002483285.1,3070,77,,GCA_002483285.1,133
601,GCA_000283015.1,2962,117,,GCA_000283015.1,113
602,GCA_002364385.1,3200,108,,GCA_002364385.1,117
603,GCA_002439125.1,2901,57,,GCA_002439125.1,134
604,GCA_004332155.1,3188,85,,GCA_004332155.1,159
605,GCA_014219885.1,3740,111,,GCA_014219885.1,165
606,GCA_000455605.1,2736,62,,GCA_000455605.1,107
607,GCA_004762155.1,4026,76,,GCA_004762155.1,155
608,GCA_002340755.1,1392,35,,GCA_002340755.1,80
609,GCA_000423405.1,2933,73,,GCA_000423405.1,109
610,GCA_003968735.1,2944,89,,GCA_003968735.1,126
611,GCA_004369705.1,5101,237,,GCA_004369705.1,193
612,GCA_002204845.1,2725,65,,GCA_002204845.1,117
613,GCA_001831475.1,2654,51,,GCA_001831475.1,110
614,GCA_000169355.1,2543,64,,GCA_000169355.1,103
615,GCA_003663945.1,2823,72,,GCA_003663945.1,126
616,GCA_004010215.1,2790,65,,GCA_004010215.1,118
617,GCA_000426465.1,3745,115,,GCA_000426465.1,151
618,GCA_000518405.1,2764,30,,GCA_000518405.1,127
619,GCA_000295655.1,2170,45,,GCA_000295655.1,87
620,GCA_014218905.1,4253,106,,GCA_014218905.1,161
621,GCA_002691265.1,1264,25,,GCA_002691265.1,59
622,GCA_002414705.1,3094,60,,GCA_002414705.1,116
623,GCA_001670725.1,2067,38,,GCA_001670725.1,86
624,GCA_002429865.1,2913,44,,GCA_002429865.1,126
625,GCA_900186445.1,2480,57,,GCA_900186445.1,105
626,GCA_001865655.1,3773,124,,GCA_001865655.1,161
627,GCA_900446845.1,3900,91,,GCA_900446845.1,153
628,GCA_902506175.1,4295,85,,GCA_902506175.1,167
629,GCA_002476905.1,2470,50,,GCA_002476905.1,94
630,GCA_003971235.1,4557,108,,GCA_003971235.1,206
631,GCA_001887135.1,2641,56,,GCA_001887135.1,107
632,GCA_007991455.1,4155,136,,GCA_007991455.1,152
633,GCA_900156145.1,3886,90,,GCA_900156145.1,153
634,GCA_014062315.1,3957,125,,GCA_014062315.1,176
635,GCA_013403915.1,3458,113,,GCA_013403915.1,144
636,GCA_010993855.1,3990,109,,GCA_010993855.1,173
637,GCA_003385595.1,4089,104,,GCA_003385595.1,185
638,GCA_013372885.1,1634,41,,GCA_013372885.1,81
639,GCA_013874595.1,2786,32,,GCA_013874595.1,105
640,GCA_900129545.1,3483,32,,GCA_900129545.1,121
641,GCA_011068285.1,4246,85,,GCA_011068285.1,170
642,GCA_001761325.1,3030,106,,GCA_001761325.1,119
643,GCA_003970375.1,2875,72,,GCA_003970375.1,131
644,GCA_003730015.1,2775,52,,GCA_003730015.1,115
645,GCA_004214015.1,781,10,,GCA_004214015.1,46
646,GCA_002514735.1,3812,106,,GCA_002514735.1,175
647,GCA_000695795.1,3175,224,,GCA_000695795.1,102
648,GCA_000827695.1,2092,74,,GCA_000827695.1,89
649,GCA_001684975.1,4433,84,,GCA_001684975.1,196
650,GCA_002733415.1,3172,40,,GCA_002733415.1,139
651,GCA_902506265.1,3742,100,,GCA_902506265.1,159
652,GCA_002836475.1,2942,62,,GCA_002836475.1,149
653,GCA_000171875.1,3413,93,,GCA_000171875.1,187
654,GCA_007474535.1,3484,92,,GCA_007474535.1,130
655,GCA_009797025.1,4519,121,,GCA_009797025.1,156
656,GCA_900116665.1,3702,159,,GCA_900116665.1,145
657,GCA_005144745.1,3193,105,,GCA_005144745.1,118
658,GCA_002453005.1,3775,207,,GCA_002453005.1,146
659,GCA_003148665.1,4463,182,,GCA_003148665.1,172
660,GCA_902705515.1,3018,42,,GCA_902705515.1,116
661,GCA_002172435.2,1502,28,,GCA_002172435.2,74
662,GCA_014220045.1,5444,94,,GCA_014220045.1,216
663,GCA_003815935.1,4540,95,,GCA_003815935.1,199
664,GCA_002310515.1,3778,107,,GCA_002310515.1,164
665,GCA_009725985.1,4186,178,,GCA_009725985.1,151
666,GCA_001516145.1,2855,57,,GCA_001516145.1,117
667,GCA_900610265.1,2433,53,,GCA_900610265.1,108
668,GCA_013821805.1,2491,63,,GCA_013821805.1,117
669,GCA_014377455.1,3055,74,,GCA_014377455.1,117
670,GCA_003454375.1,1981,62,,GCA_003454375.1,81
671,GCA_000252125.2,3411,96,,GCA_000252125.2,138
672,GCA_900142175.1,3983,121,,GCA_900142175.1,157
673,GCA_003054225.1,3249,99,,GCA_003054225.1,150
674,GCA_002022025.1,3679,112,,GCA_002022025.1,166
675,GCA_002421645.1,1295,16,,GCA_002421645.1,53
676,GCA_002204895.1,2990,55,,GCA_002204895.1,129
677,GCA_002167525.1,1646,34,,GCA_002167525.1,73
678,GCA_000211855.3,2977,77,,GCA_000211855.3,130
679,GCA_002390125.1,1401,30,,GCA_002390125.1,64
680,GCA_002836085.1,3090,73,,GCA_002836085.1,118
681,GCA_004303025.1,3960,108,,GCA_004303025.1,172
682,GCA_014451095.1,5367,60,,GCA_014451095.1,178
683,GCA_001045445.1,4000,93,,GCA_001045445.1,193
684,GCA_014220885.1,3743,109,,GCA_014220885.1,164
685,GCA_001280865.1,2764,69,,GCA_001280865.1,128
686,GCA_000423045.1,2981,101,,GCA_000423045.1,134
687,GCA_001556235.1,3973,117,,GCA_001556235.1,152
688,GCA_002315415.1,4823,87,,GCA_002315415.1,220
689,GCA_003626835.1,5149,160,,GCA_003626835.1,238
690,GCA_002690095.1,3283,119,,GCA_002690095.1,106
691,GCA_003525065.1,2732,106,,GCA_003525065.1,103
692,GCA_003712105.1,2895,67,,GCA_003712105.1,149
693,GCA_009741375.1,3519,85,,GCA_009741375.1,134
694,GCA_009835005.1,2424,40,,GCA_009835005.1,101
695,GCA_003957295.1,4152,180,,GCA_003957295.1,147
696,GCA_900111965.1,2362,46,,GCA_900111965.1,108
697,GCA_001672305.1,3136,118,,GCA_001672305.1,112
698,GCA_003688495.1,2902,61,,GCA_003688495.1,128
699,GCA_004355225.1,3536,198,,GCA_004355225.1,128
700,GCA_002846555.1,5234,98,,GCA_002846555.1,227
701,GCA_011391075.1,1850,65,,GCA_011391075.1,90
702,GCA_007109225.1,2750,62,,GCA_007109225.1,116
703,GCA_002384055.1,1656,39,,GCA_002384055.1,77
704,GCA_900538225.1,1749,47,,GCA_900538225.1,78
705,GCA_900142035.1,2880,54,,GCA_900142035.1,136
706,GCA_013001085.1,2159,39,,GCA_013001085.1,92
707,GCA_002433125.1,3742,101,,GCA_002433125.1,143
708,GCA_900538215.1,1712,45,,GCA_900538215.1,78
709,GCA_012524075.1,3004,115,,GCA_012524075.1,117
710,GCA_003992595.1,3857,88,,GCA_003992595.1,166
711,GCA_002388845.1,2946,45,,GCA_002388845.1,123
712,GCA_007997285.1,3261,118,,GCA_007997285.1,147
713,GCA_000737685.1,4768,215,,GCA_000737685.1,195
714,GCA_012837155.1,3811,62,,GCA_012837155.1,99
715,GCA_900142715.1,4668,237,,GCA_900142715.1,191
716,GCA_006383075.2,4124,77,,GCA_006383075.2,166
717,GCA_004349315.1,3242,100,,GCA_004349315.1,150
718,GCA_900446825.1,5537,104,,GCA_900446825.1,210
719,GCA_001051075.1,2219,34,,GCA_001051075.1,93
720,GCA_013213975.1,2837,70,,GCA_013213975.1,142
721,GCA_003457445.1,2503,43,,GCA_003457445.1,87
722,GCA_003815655.1,4293,113,,GCA_003815655.1,176
723,GCA_002171475.2,1790,40,,GCA_002171475.2,102
724,GCA_000805695.1,3414,68,,GCA_000805695.1,153
725,GCA_002403645.1,2869,56,,GCA_002403645.1,130
726,GCA_002302615.1,2204,70,,GCA_002302615.1,85
727,GCA_002747735.1,1031,38,,GCA_002747735.1,52
728,GCA_003511625.1,3062,48,,GCA_003511625.1,107
729,GCA_010671605.1,3825,78,,GCA_010671605.1,221
730,GCA_002022045.1,3834,110,,GCA_002022045.1,168
731,GCA_002471745.1,2529,106,,GCA_002471745.1,103
732,GCA_003815975.1,4840,108,,GCA_003815975.1,193
733,GCA_900215465.1,3913,114,,GCA_900215465.1,154
734,GCA_002813915.1,3670,76,,GCA_002813915.1,150
735,GCA_002729755.1,1060,20,,GCA_002729755.1,61
736,GCA_013090115.1,3432,124,,GCA_013090115.1,143
737,GCA_009663555.1,1993,37,,GCA_009663555.1,84
738,GCA_014219635.1,3647,104,,GCA_014219635.1,167
739,GCA_003484045.1,2364,39,,GCA_003484045.1,65
740,GCA_006385095.1,2098,45,,GCA_006385095.1,84
741,GCA_002280815.1,3677,194,,GCA_002280815.1,96
742,GCA_001975665.1,3490,192,,GCA_001975665.1,146
743,GCA_002390905.1,4292,96,,GCA_002390905.1,203
744,GCA_003094695.1,4595,112,,GCA_003094695.1,176
745,GCA_003815755.1,5032,98,,GCA_003815755.1,224
746,GCA_002023585.1,3497,104,,GCA_002023585.1,161
747,GCA_002807015.1,2218,31,,GCA_002807015.1,94
748,GCA_003634105.1,3351,140,,GCA_003634105.1,114
749,GCA_013403975.1,3154,83,,GCA_013403975.1,142
750,GCA_900636535.1,5193,114,,GCA_900636535.1,216
751,GCA_001439205.1,1300,22,,GCA_001439205.1,65
752,GCA_001563495.1,4553,87,,GCA_001563495.1,217
753,GCA_900129245.1,4485,124,,GCA_900129245.1,182
754,GCA_012269955.1,1260,27,,GCA_012269955.1,57
755,GCA_002217355.1,4016,169,,GCA_002217355.1,156
756,GCA_002277995.2,3730,111,,GCA_002277995.2,164
757,GCA_008086205.1,3080,57,,GCA_008086205.1,135
758,GCA_001677935.1,4241,85,,GCA_001677935.1,160
759,GCA_900610175.1,2420,55,,GCA_900610175.1,109
760,GCA_004213645.1,966,20,,GCA_004213645.1,46
761,GCA_002470905.1,1238,29,,GCA_002470905.1,52
762,GCA_000016645.1,5192,244,,GCA_000016645.1,183
763,GCA_002390585.1,1478,30,,GCA_002390585.1,72
764,GCA_900239305.1,2337,27,,GCA_900239305.1,101
765,GCA_900186595.1,2260,54,,GCA_900186595.1,100
766,GCA_900610015.1,2424,56,,GCA_900610015.1,108
767,GCA_002388405.1,2694,44,,GCA_002388405.1,120
768,GCA_900638435.1,2221,60,,GCA_900638435.1,83
769,GCA_000708595.2,3930,187,,GCA_000708595.2,170
770,GCA_900143245.1,3243,81,,GCA_900143245.1,141
771,GCA_002401215.1,1955,35,,GCA_002401215.1,69
772,GCA_002979665.1,4504,98,,GCA_002979665.1,214
773,GCA_013911645.1,3603,81,,GCA_013911645.1,149
774,GCA_002422095.1,2272,36,,GCA_002422095.1,80
775,GCA_002708845.1,3650,184,,GCA_002708845.1,137
776,GCA_009995125.1,2899,76,,GCA_009995125.1,116
777,GCA_003487925.1,2854,34,,GCA_003487925.1,88
778,GCA_900107595.1,2458,39,,GCA_900107595.1,102
779,GCA_013343175.2,2488,56,,GCA_013343175.2,108
780,GCA_002389235.1,1348,21,,GCA_002389235.1,68
781,GCA_002700405.1,1039,25,,GCA_002700405.1,53
782,GCA_900197635.1,3331,98,,GCA_900197635.1,128
783,GCA_013410675.1,4197,99,,GCA_013410675.1,175
784,GCA_000757385.1,3173,82,,GCA_000757385.1,145
785,GCA_900186475.1,2270,55,,GCA_900186475.1,103
786,GCA_004341805.1,5190,236,,GCA_004341805.1,207
787,GCA_007991435.1,4439,122,,GCA_007991435.1,207
788,GCA_900446675.1,2569,45,,GCA_900446675.1,91
789,GCA_014220795.1,3725,107,,GCA_014220795.1,155
790,GCA_003529725.1,963,27,,GCA_003529725.1,40
791,GCA_008369745.1,4623,225,,GCA_008369745.1,173
792,GCA_000769825.1,3968,147,,GCA_000769825.1,148
793,GCA_002177115.1,3984,109,,GCA_002177115.1,152
794,GCA_011305415.1,3079,54,,GCA_011305415.1,130
795,GCA_000745535.1,4713,104,,GCA_000745535.1,222
796,GCA_009707955.1,5054,195,,GCA_009707955.1,187
797,GCA_003318185.1,3660,50,,GCA_003318185.1,176
798,GCA_002170965.1,1102,29,,GCA_002170965.1,40
799,GCA_002306185.1,2727,48,,GCA_002306185.1,111
800,GCA_002120265.1,3557,178,,GCA_002120265.1,137
801,GCA_000733475.1,2430,45,,GCA_000733475.1,104
802,GCA_900099685.1,3458,131,,GCA_900099685.1,134
803,GCA_000495935.2,4039,106,,GCA_000495935.2,169
804,GCA_013184525.1,4108,129,,GCA_013184525.1,208
805,GCA_000498475.1,2875,51,,GCA_000498475.1,113
806,GCA_013488205.1,3442,66,,GCA_013488205.1,148
807,GCA_000271925.1,2170,80,,GCA_000271925.1,87
808,GCA_900106825.1,3350,91,,GCA_900106825.1,171
809,GCA_004310335.1,3518,145,,GCA_004310335.1,130
810,GCA_900312745.1,5381,90,,GCA_900312745.1,269
811,GCA_014218885.1,4921,107,,GCA_014218885.1,203
812,GCA_002693685.1,3836,171,,GCA_002693685.1,157
813,GCA_002781025.1,2729,56,,GCA_002781025.1,114
814,GCA_009865665.1,3494,106,,GCA_009865665.1,163
815,GCA_900609975.1,2502,56,,GCA_900609975.1,110
816,GCA_002782505.1,2261,44,,GCA_002782505.1,108
817,GCA_900107625.1,2836,45,,GCA_900107625.1,110
818,GCA_009693635.1,1588,40,,GCA_009693635.1,72
819,GCA_003248465.1,3770,96,,GCA_003248465.1,132
820,GCA_000621125.1,4286,102,,GCA_000621125.1,232
821,GCA_003331305.1,1366,36,,GCA_003331305.1,64
822,GCA_900445655.1,2114,32,,GCA_900445655.1,87
823,GCA_009764275.1,3620,105,,GCA_009764275.1,162
824,GCA_002472905.1,4374,95,,GCA_002472905.1,194
825,GCA_013002225.1,2779,66,,GCA_013002225.1,118
826,GCA_001438245.1,1283,22,,GCA_001438245.1,51
827,GCA_000764755.1,4556,179,,GCA_000764755.1,135
828,GCA_000737695.1,5031,100,,GCA_000737695.1,199
829,GCA_009796805.1,3906,166,,GCA_009796805.1,141
830,GCA_002023465.1,3601,106,,GCA_002023465.1,153
831,GCA_011379025.1,3342,119,,GCA_011379025.1,120
832,GCA_006716585.1,3318,84,,GCA_006716585.1,105
833,GCA_900116415.1,4008,113,,GCA_900116415.1,167
834,GCA_009184425.1,3615,87,,GCA_009184425.1,157
835,GCA_001618505.2,3484,104,,GCA_001618505.2,158
836,GCA_900142695.1,3252,78,,GCA_900142695.1,139
837,GCA_002413745.1,3506,200,,GCA_002413745.1,123
838,GCA_002713495.1,1550,28,,GCA_002713495.1,69
839,GCA_002836055.1,3403,66,,GCA_002836055.1,183
840,GCA_002694765.1,2739,52,,GCA_002694765.1,137
841,GCA_000764835.1,5561,183,,GCA_000764835.1,148
842,GCA_900107365.1,4566,221,,GCA_900107365.1,177
843,GCA_002415175.1,2986,55,,GCA_002415175.1,139
844,GCA_002429285.1,3793,216,,GCA_002429285.1,137
845,GCA_004282915.1,2058,51,,GCA_004282915.1,92
846,GCA_900446695.1,2742,83,,GCA_900446695.1,89
847,GCA_900114875.1,4267,105,,GCA_900114875.1,166
848,GCA_003097535.1,2973,92,,GCA_003097535.1,123
849,GCA_900018365.1,2092,31,,GCA_900018365.1,82
850,GCA_002964915.1,1960,29,,GCA_002964915.1,85
851,GCA_002749285.1,1888,59,,GCA_002749285.1,89
852,GCA_002365095.1,2647,51,,GCA_002365095.1,120
853,GCA_003076455.1,3811,186,,GCA_003076455.1,117
854,GCA_003815635.1,4021,117,,GCA_003815635.1,157
855,GCA_900113975.1,4437,90,,GCA_900113975.1,192
856,GCA_001670865.1,1932,38,,GCA_001670865.1,88
857,GCA_900186455.1,2590,55,,GCA_900186455.1,106
858,GCA_003259375.1,4373,158,,GCA_003259375.1,165
859,GCA_003852415.1,4824,96,,GCA_003852415.1,223
860,GCA_002862715.1,1240,34,,GCA_002862715.1,55
861,GCA_009764715.1,3322,79,,GCA_009764715.1,146
862,GCA_900107635.1,3807,97,,GCA_900107635.1,155
863,GCA_002695445.1,1640,52,,GCA_002695445.1,66
864,GCA_000799515.1,3692,86,,GCA_000799515.1,144
865,GCA_900543775.1,3517,63,,GCA_900543775.1,142
866,GCA_902705265.1,2823,40,,GCA_902705265.1,115
867,GCA_014220275.1,4350,94,,GCA_014220275.1,194
868,GCA_900176315.1,4422,89,,GCA_900176315.1,227
869,GCA_010031465.1,1745,40,,GCA_010031465.1,94
870,GCA_009909155.2,3601,231,,GCA_009909155.2,110
871,GCA_900156625.1,4457,204,,GCA_900156625.1,149
872,GCA_014220245.1,4427,96,,GCA_014220245.1,194
873,GCA_001867305.1,3799,110,,GCA_001867305.1,179
874,GCA_002295505.1,3967,104,,GCA_002295505.1,158
875,GCA_009690775.1,2138,45,,GCA_009690775.1,87
876,GCA_902728265.1,3664,90,,GCA_902728265.1,158
877,GCA_002217335.1,5027,102,,GCA_002217335.1,199
878,GCA_000183985.1,2202,86,,GCA_000183985.1,78
879,GCA_002428965.1,3348,152,,GCA_002428965.1,114
880,GCA_009767705.1,3076,28,,GCA_009767705.1,124
881,GCA_011378975.1,4360,154,,GCA_011378975.1,146
882,GCA_002453085.1,3315,146,,GCA_002453085.1,122
883,GCA_014077645.1,3967,126,,GCA_014077645.1,155
884,GCA_002480545.1,2917,71,,GCA_002480545.1,118
885,GCA_003232435.1,3831,67,,GCA_003232435.1,138
886,GCA_900186825.1,2277,57,,GCA_900186825.1,102
887,GCA_000411115.1,2500,44,,GCA_000411115.1,89
888,GCA_009792295.1,3285,28,,GCA_009792295.1,124
889,GCA_002388445.1,4087,101,,GCA_002388445.1,162
890,GCA_900610125.1,2376,57,,GCA_900610125.1,105
891,GCA_000301075.1,2114,32,,GCA_000301075.1,87
892,GCA_013285155.1,3706,97,,GCA_013285155.1,126
893,GCA_013003585.1,2185,45,,GCA_013003585.1,106
894,GCA_000737775.1,3826,106,,GCA_000737775.1,194
895,GCA_009827735.1,1998,32,,GCA_009827735.1,81
896,GCA_002979455.1,4658,95,,GCA_002979455.1,218
897,GCA_000277585.1,2195,88,,GCA_000277585.1,78
898,GCA_900239505.1,2160,28,,GCA_900239505.1,94
899,GCA_900142785.1,4663,107,,GCA_900142785.1,204
900,GCA_000425505.1,3146,72,,GCA_000425505.1,124
901,GCA_013001275.1,2426,75,,GCA_013001275.1,106
902,GCA_002338325.1,4312,108,,GCA_002338325.1,187
903,GCA_014219385.1,3853,108,,GCA_014219385.1,157
904,GCA_001051975.1,3326,94,,GCA_001051975.1,141
905,GCA_002631855.1,3147,49,,GCA_002631855.1,136
906,GCA_002843945.1,3734,108,,GCA_002843945.1,175
907,GCA_006346335.1,2858,53,,GCA_006346335.1,128
908,GCA_000243275.1,3785,35,,GCA_000243275.1,133
909,GCA_000687915.1,3699,157,,GCA_000687915.1,130
910,GCA_000224335.2,3008,47,,GCA_000224335.2,138
911,GCA_900129035.1,2313,44,,GCA_900129035.1,97
912,GCA_011777505.1,2888,64,,GCA_011777505.1,189
913,GCA_002320855.1,3967,143,,GCA_002320855.1,150
914,GCA_002714815.1,2205,46,,GCA_002714815.1,105
915,GCA_003730065.1,2441,63,,GCA_003730065.1,107
916,GCA_002294145.1,2760,57,,GCA_002294145.1,138
917,GCA_002782485.1,2839,80,,GCA_002782485.1,107
918,GCA_001800945.1,1794,41,,GCA_001800945.1,80
919,GCA_003520985.1,4664,93,,GCA_003520985.1,216
920,GCA_003020585.1,4133,84,,GCA_003020585.1,195
921,GCA_000468575.1,4076,149,,GCA_000468575.1,152
922,GCA_002204815.1,2949,60,,GCA_002204815.1,115
923,GCA_011378915.1,3656,186,,GCA_011378915.1,135
924,GCA_003268855.1,2546,58,,GCA_003268855.1,103
925,GCA_001020565.1,3532,98,,GCA_001020565.1,166
926,GCA_002900225.1,4289,188,,GCA_002900225.1,161
927,GCA_000799645.1,4638,86,,GCA_000799645.1,228
928,GCA_900155985.1,3892,109,,GCA_900155985.1,139
