,Unnamed: 0,cazymes,Orfs_anno_cazymes%,orfs,index_x,Merops orfs total,GH total,Orfs_anno_merops%,Assembly accession,Genus,Family,scaf_bp,Completeness,MAG,Nr_BGCs,index_y,Virulence orfs total,Orfs_anno_virs%,P,BGCs/genomesize,merops_perMb,virs_perMb,bgc_perMb
871,GCA_002900225.1,188,4.383306132,4289,GCA_002900225.1,6,116,0.139892749,GCA_002900225.1,Formosa,Flavobacteriaceae,4531744,97.96,False,2,GCA_002900225.1,286,6.668221031,0.06185567,4.41E-07,0.001323994,0.063110361,0.000441331
886,GCA_001439665.1,178,4.910344828,3625,GCA_001439665.1,6,103,0.165517241,GCA_001439665.1,Formosa,Flavobacteriaceae,4292461,98.35,False,2,GCA_001439665.1,300,8.275862069,0.065217391,4.66E-07,0.0013978,0.069889977,0.000465933
704,GCA_003634105.1,140,4.177857356,3351,GCA_003634105.1,6,91,0.17905103,GCA_003634105.1,Maribacter,Flavobacteriaceae,3889815,99.67,False,3,GCA_003634105.1,271,8.087138168,0.082191781,7.71E-07,0.00154249,0.069669123,0.000771245
299,GCA_003626845.1,130,2.892745883,4494,GCA_003626845.1,6,69,0.133511348,GCA_003626845.1,Aquimarina,Flavobacteriaceae,5290240,99.49,False,12,GCA_003626845.1,395,8.789497107,0.088235294,2.27E-06,0.001134164,0.0746658,0.002268328
2338,GCA_000430825.1,126,3.148425787,4002,GCA_000430825.1,6,65,0.149925037,GCA_000430825.1,Chryseobacterium,Weeksellaceae,4214564,100,False,5,GCA_000430825.1,302,7.546226887,0.090909091,1.19E-06,0.001423635,0.071656285,0.001186362
1194,GCA_000430845.1,119,2.952853598,4030,GCA_000430845.1,6,70,0.148883375,GCA_000430845.1,Chryseobacterium,Weeksellaceae,4439376,100,False,6,GCA_000430845.1,313,7.76674938,0.096,1.35E-06,0.001351541,0.070505404,0.001351541
2514,GCA_002770595.1,119,2.968321277,4009,GCA_002770595.1,6,66,0.149663258,GCA_002770595.1,Chryseobacterium,Weeksellaceae,4376354,100,False,8,GCA_002770595.1,335,8.356198553,0.096,1.83E-06,0.001371004,0.076547738,0.001828006
1143,GCA_003815615.1,116,2.933737987,3954,GCA_003815615.1,6,60,0.151745068,GCA_003815615.1,Chryseobacterium,Weeksellaceae,4390955,100,False,4,GCA_003815615.1,310,7.840161861,0.098360656,9.11E-07,0.001366445,0.070599676,0.000910964
1510,GCA_002693185.1,115,3.930280246,2926,GCA_002693185.1,6,70,0.2050581,GCA_002693185.1,Gramella,Flavobacteriaceae,3289833,88.51,True,2,GCA_002693185.1,227,7.758031442,0.099173554,6.08E-07,0.001823801,0.069000463,0.000607934
22,GCA_003610695.1,114,3.405017921,3348,GCA_003610695.1,6,58,0.17921147,GCA_003610695.1,Epilithonimonas,Weeksellaceae,3646603,100,False,2,GCA_003610695.1,283,8.452807646,0.1,5.48E-07,0.001645367,0.077606474,0.000548456
17,GCA_003813905.1,113,3.64281109,3102,GCA_003813905.1,6,67,0.193423598,GCA_003813905.1,UBA7949,Flavobacteriaceae,3668585,98.99,False,3,GCA_003813905.1,255,8.220502901,0.100840336,8.18E-07,0.001635508,0.069509089,0.000817754
2370,GCA_001521815.1,112,3.054267794,3667,GCA_001521815.1,6,61,0.163621489,GCA_001521815.1,Elizabethkingia,Weeksellaceae,3959896,100,False,3,GCA_001521815.1,273,7.444777747,0.101694915,7.58E-07,0.001515191,0.068941205,0.000757596
1335,GCA_001593385.1,111,2.333403406,4757,GCA_001593385.1,6,59,0.126129914,GCA_001593385.1,Chryseobacterium,Weeksellaceae,5329483,100,False,9,GCA_001593385.1,384,8.072314484,0.102564103,1.69E-06,0.001125813,0.072052017,0.001688719
363,GCA_002023205.1,111,2.706656913,4101,GCA_002023205.1,6,65,0.146305779,GCA_002023205.1,Elizabethkingia,Weeksellaceae,4385854,100,False,4,GCA_002023205.1,302,7.364057547,0.102564103,9.12E-07,0.001368035,0.068857741,0.000912023
2468,GCA_002023175.1,111,3.068841581,3617,GCA_002023175.1,6,60,0.165883329,GCA_002023175.1,Elizabethkingia,Weeksellaceae,3951242,100,False,2,GCA_002023175.1,274,7.575338678,0.102564103,5.06E-07,0.00151851,0.069345284,0.00050617
501,GCA_002754315.1,109,3.362122147,3242,GCA_002754315.1,6,67,0.185070944,GCA_002754315.1,Flavobacterium,Flavobacteriaceae,3763919,99.29,False,4,GCA_002754315.1,259,7.988895743,0.104347826,1.06E-06,0.001594083,0.068811258,0.001062722
2097,GCA_001425355.1,109,2.632214441,4141,GCA_001425355.1,6,56,0.144892538,GCA_001425355.1,Chryseobacterium,Weeksellaceae,4492507,100,False,3,GCA_001425355.1,356,8.596957257,0.104347826,6.68E-07,0.001335557,0.07924306,0.000667779
930,GCA_001853405.1,106,3.032036613,3496,GCA_001853405.1,6,58,0.171624714,GCA_001853405.1,Elizabethkingia,Weeksellaceae,3886731,100,False,2,GCA_001853405.1,275,7.866132723,0.107142857,5.15E-07,0.001543714,0.070753546,0.000514571
1728,GCA_001618465.2,104,2.918888577,3563,GCA_001618465.2,6,62,0.168397418,GCA_001618465.2,Elizabethkingia,Weeksellaceae,3931222,100,False,3,GCA_001618465.2,268,7.521751333,0.109090909,7.63E-07,0.001526243,0.068172187,0.000763121
702,GCA_002023585.1,104,2.973977695,3497,GCA_002023585.1,6,58,0.171575636,GCA_002023585.1,Elizabethkingia,Weeksellaceae,3911419,100,False,4,GCA_002023585.1,271,7.749499571,0.109090909,1.02E-06,0.00153397,0.069284319,0.001022647
132,GCA_001596175.2,104,2.920527942,3561,GCA_001596175.2,6,62,0.168491997,GCA_001596175.2,Elizabethkingia,Weeksellaceae,3931222,100,False,3,GCA_001596175.2,268,7.525975849,0.109090909,7.63E-07,0.001526243,0.068172187,0.000763121
1800,GCA_002453075.1,103,2.984642133,3451,GCA_002453075.1,6,41,0.173862649,GCA_002453075.1,Mesonia,Flavobacteriaceae,3791507,93.92,True,4,GCA_002453075.1,274,7.939727615,0.110091743,1.05E-06,0.001582484,0.072266779,0.001054989
670,GCA_002433125.1,101,2.699091395,3742,GCA_002433125.1,6,44,0.160342063,GCA_002433125.1,Winogradskyella,Flavobacteriaceae,4033163,92.37,True,2,GCA_002433125.1,266,7.108498129,0.112149533,4.96E-07,0.001487666,0.065953199,0.000495889
835,GCA_002388445.1,101,2.471250306,4087,GCA_002388445.1,6,42,0.146806949,GCA_002388445.1,Maribacter,Flavobacteriaceae,4580411,97.07,True,4,GCA_002388445.1,322,7.878639589,0.112149533,8.73E-07,0.001309926,0.070299368,0.000873284
905,GCA_001642835.1,100,3.055300947,3273,GCA_001642835.1,6,31,0.183318057,GCA_001642835.1,Tamlana_A,Flavobacteriaceae,3834113,98.68,False,4,GCA_001642835.1,272,8.310418576,0.113207547,1.04E-06,0.001564899,0.070942093,0.001043266
920,GCA_001999725.1,98,2.939412118,3334,GCA_001999725.1,6,52,0.179964007,GCA_001999725.1,Cellulophaga,Flavobacteriaceae,3803581,99.67,False,1,GCA_001999725.1,285,8.548290342,0.115384615,2.63E-07,0.001577461,0.074929389,0.00026291
1791,GCA_001684955.1,97,2.343561247,4139,GCA_001684955.1,6,49,0.144962551,GCA_001684955.1,Chryseobacterium,Weeksellaceae,4704265,99.75,False,9,GCA_001684955.1,313,7.562213095,0.116504854,1.91E-06,0.001275438,0.066535367,0.001913158
1659,GCA_007827445.1,96,3.303509979,2906,GCA_007827445.1,6,49,0.206469374,GCA_007827445.1,Gelidibacter,Flavobacteriaceae,3306947,99.67,False,1,GCA_007827445.1,246,8.465244322,0.117647059,3.02E-07,0.001814362,0.074388855,0.000302394
1778,GCA_006148925.1,96,3.394625177,2828,GCA_006148925.1,6,44,0.212164074,GCA_006148925.1,Algibacter_D,Flavobacteriaceae,3144584,99.67,False,1,GCA_006148925.1,235,8.309759547,0.117647059,3.18E-07,0.001908043,0.074731666,0.000318007
970,GCA_002899945.2,96,1.885680613,5091,GCA_002899945.2,6,44,0.117855038,GCA_002899945.2,Chryseobacterium,Weeksellaceae,5693782,100,False,10,GCA_002899945.2,391,7.680219996,0.117647059,1.76E-06,0.001053781,0.068671403,0.001756302
699,GCA_002390905.1,96,2.236719478,4292,GCA_002390905.1,6,54,0.139794967,GCA_002390905.1,Chryseobacterium,Weeksellaceae,4842792,93.86,True,10,GCA_002390905.1,348,8.108108108,0.117647059,2.06E-06,0.001238955,0.071859374,0.002064925
2161,GCA_013294025.1,95,2.925777641,3247,GCA_013294025.1,6,56,0.184785956,GCA_013294025.1,Flavobacterium,Flavobacteriaceae,3752905,99.29,False,3,GCA_013294025.1,261,8.038189098,0.118811881,7.99E-07,0.001598761,0.069546125,0.000799381
1360,GCA_002742265.1,95,2.266221374,4192,GCA_002742265.1,6,46,0.143129771,GCA_002742265.1,Maribacter,Flavobacteriaceae,4601542,99.67,False,4,GCA_002742265.1,308,7.347328244,0.118811881,8.69E-07,0.001303911,0.066934084,0.000869274
2310,GCA_002682935.1,90,2.867155145,3139,GCA_002682935.1,6,35,0.191143676,GCA_002682935.1,Winogradskyella,Flavobacteriaceae,3481067,94.5,True,1,GCA_002682935.1,248,7.900605288,0.125,2.87E-07,0.001723609,0.071242524,0.000287268
1485,GCA_002325035.1,89,2.442371021,3644,GCA_002325035.1,6,39,0.164654226,GCA_002325035.1,Maribacter,Flavobacteriaceae,4168404,90.62,True,4,GCA_002325035.1,289,7.930845225,0.126315789,9.60E-07,0.0014394,0.069331092,0.0009596
447,GCA_002429685.1,89,1.721803057,5169,GCA_002429685.1,6,43,0.116076611,GCA_002429685.1,Chryseobacterium,Weeksellaceae,4708207,88.65,True,8,GCA_002429685.1,301,5.82317663,0.126315789,1.70E-06,0.00127437,0.063930919,0.001699161
1836,GCA_002722255.1,88,3.033436746,2901,GCA_002722255.1,6,43,0.206825233,GCA_002722255.1,Winogradskyella,Flavobacteriaceae,3208965,84.38,True,1,GCA_002722255.1,222,7.652533609,0.127659574,3.12E-07,0.001869762,0.069181185,0.000311627
652,GCA_002315415.1,87,1.803856521,4823,GCA_002315415.1,6,45,0.124403898,GCA_002315415.1,Chryseobacterium,Weeksellaceae,5287191,100,True,6,GCA_002315415.1,349,7.236160066,0.129032258,1.13E-06,0.001134818,0.066008586,0.001134818
1097,GCA_001424585.1,87,2.796528447,3111,GCA_001424585.1,6,38,0.192864031,GCA_001424585.1,Chryseobacterium,Weeksellaceae,3353784,100,False,2,GCA_001424585.1,237,7.618129219,0.129032258,5.96E-07,0.001789024,0.070666447,0.000596341
2294,GCA_002530755.1,84,2.761341223,3042,GCA_002530755.1,6,24,0.197238659,GCA_002530755.1,Flavobacterium,Flavobacteriaceae,3462353,98.59,False,2,GCA_002530755.1,223,7.330703485,0.133333333,5.78E-07,0.001732926,0.064407067,0.000577642
968,GCA_002441545.1,84,2.464065708,3409,GCA_002441545.1,6,43,0.176004693,GCA_002441545.1,UBA6231,Flavobacteriaceae,3617970,93.86,True,1,GCA_002441545.1,224,6.570841889,0.133333333,2.76E-07,0.001658389,0.061913172,0.000276398
1560,GCA_002785365.1,83,2.9738445,2791,GCA_002785365.1,6,42,0.214976711,GCA_002785365.1,Polaribacter,Flavobacteriaceae,3082603,98.83,True,2,GCA_002785365.1,200,7.165890362,0.134831461,6.49E-07,0.001946407,0.064880233,0.000648802
555,GCA_002943715.1,81,2.013923421,4022,GCA_002943715.1,6,47,0.149179513,GCA_002943715.1,Polaribacter,Flavobacteriaceae,4281931,98.85,False,2,GCA_002943715.1,243,6.041770264,0.137931034,4.67E-07,0.001401237,0.056750097,0.000467079
1652,GCA_002813125.1,80,2.448729721,3267,GCA_002813125.1,6,44,0.183654729,GCA_002813125.1,Muricauda,Flavobacteriaceae,3593735,99.01,False,4,GCA_002813125.1,276,8.448117539,0.139534884,1.11E-06,0.001669572,0.076800321,0.001113048
1707,GCA_003992615.1,78,2.262180974,3448,GCA_003992615.1,6,38,0.174013921,GCA_003992615.1,Muricauda,Flavobacteriaceae,3774563,99.67,False,2,GCA_003992615.1,292,8.468677494,0.142857143,5.30E-07,0.001589588,0.077359949,0.000529863
423,GCA_000826645.1,76,2.316366961,3281,GCA_000826645.1,6,26,0.182871076,GCA_000826645.1,Psychroserpens,Flavobacteriaceae,3680502,99.65,False,2,GCA_000826645.1,266,8.107284365,0.146341463,5.43E-07,0.001630212,0.07227275,0.000543404
2083,GCA_002472945.1,72,2.198473282,3275,GCA_002472945.1,6,30,0.183206107,GCA_002472945.1,Empedobacter,Weeksellaceae,3567201,100,True,1,GCA_002472945.1,263,8.030534351,0.153846154,2.80E-07,0.001681991,0.073727272,0.000280332
1690,GCA_002117085.1,72,2.776706518,2593,GCA_002117085.1,6,25,0.23139221,GCA_002117085.1,Nonlabens,Flavobacteriaceae,2835711,99.35,False,2,GCA_002117085.1,212,8.175858079,0.153846154,7.05E-07,0.002115871,0.074760792,0.00070529
1790,GCA_003259525.1,71,2.681268882,2648,GCA_003259525.1,6,23,0.226586103,GCA_003259525.1,Olleya,Flavobacteriaceae,2958257,99.67,False,1,GCA_003259525.1,204,7.703927492,0.155844156,3.38E-07,0.002028221,0.068959526,0.000338037
1054,GCA_003932955.1,70,2.777777778,2520,GCA_003932955.1,6,31,0.238095238,GCA_003932955.1,Epilithonimonas,Weeksellaceae,2735736,100,False,1,GCA_003932955.1,191,7.579365079,0.157894737,3.66E-07,0.002193194,0.069816678,0.000365532
684,GCA_000805695.1,68,1.991798477,3414,GCA_000805695.1,6,24,0.175746924,GCA_000805695.1,Empedobacter,Weeksellaceae,3713498,100,False,2,GCA_000805695.1,234,6.854130053,0.162162162,5.39E-07,0.001615727,0.063013364,0.000538576
1962,GCA_002714575.1,68,2.008862629,3385,GCA_002714575.1,6,28,0.177252585,GCA_002714575.1,Flavobacterium,Flavobacteriaceae,3595762,99.29,True,2,GCA_002714575.1,240,7.090103397,0.162162162,5.56E-07,0.001668631,0.066745241,0.00055621
160,GCA_002383165.1,66,2.477477477,2664,GCA_002383165.1,6,25,0.225225225,GCA_002383165.1,Epilithonimonas,Weeksellaceae,2854188,100,True,1,GCA_002383165.1,209,7.845345345,0.166666667,3.50E-07,0.002102174,0.07322573,0.000350362
2057,GCA_002471425.1,66,3.377686796,1954,GCA_002471425.1,6,44,0.307062436,GCA_002471425.1,Leeuwenhoekiella,Flavobacteriaceae,2265737,50.31,True,3,GCA_002471425.1,137,7.011258956,0.166666667,1.32E-06,0.002648145,0.060465976,0.001324072
963,GCA_002716225.1,62,2.292051756,2705,GCA_002716225.1,6,12,0.22181146,GCA_002716225.1,Croceibacter,Flavobacteriaceae,2932452,99.54,True,4,GCA_002716225.1,224,8.280961183,0.176470588,1.36E-06,0.002046069,0.076386587,0.001364046
571,GCA_002439125.1,57,1.96483971,2901,GCA_002439125.1,6,22,0.206825233,GCA_002439125.1,Empedobacter,Weeksellaceae,3068983,100,True,2,GCA_002439125.1,203,6.997587039,0.19047619,6.52E-07,0.001955045,0.066145691,0.000651682
1694,GCA_002440405.1,57,2.089442815,2728,GCA_002440405.1,6,22,0.219941349,GCA_002440405.1,Empedobacter,Weeksellaceae,2856422,100,True,1,GCA_002440405.1,197,7.221407625,0.19047619,3.50E-07,0.00210053,0.0689674,0.000350088
226,GCA_002483315.1,56,2.16802168,2583,GCA_002483315.1,6,21,0.232288037,GCA_002483315.1,Flavobacterium,Flavobacteriaceae,2793965,92.58,True,2,GCA_002483315.1,205,7.936507937,0.193548387,7.16E-07,0.002147486,0.07337243,0.000715829
543,GCA_900609985.1,55,2.312867956,2378,GCA_900609985.1,6,7,0.252312868,GCA_900609985.1,Flavobacterium,Flavobacteriaceae,2683915,99.29,False,2,GCA_900609985.1,196,8.242220353,0.196721311,7.45E-07,0.00223554,0.073027648,0.00074518
1033,GCA_001800925.1,53,2.174805088,2437,GCA_001800925.1,6,20,0.24620435,GCA_001800925.1,Flavobacterium,Flavobacteriaceae,2637880,99.47,True,2,GCA_001800925.1,216,8.863356586,0.203389831,7.58E-07,0.002274554,0.081883937,0.000758185
792,GCA_002694765.1,52,1.898503103,2739,GCA_002694765.1,6,5,0.21905805,GCA_002694765.1,Xanthomarina,Flavobacteriaceae,2990433,99.5,True,2,GCA_002694765.1,242,8.835341365,0.206896552,6.69E-07,0.002006398,0.080924736,0.000668799
1845,GCA_007990795.1,51,1.413917383,3607,GCA_007990795.1,6,16,0.166343222,GCA_007990795.1,Empedobacter,Weeksellaceae,3864021,100,False,3,GCA_007990795.1,247,6.847795952,0.210526316,7.76E-07,0.001552787,0.063923048,0.000776393
1927,GCA_000382425.1,50,1.408054069,3551,GCA_000382425.1,6,16,0.168966488,GCA_000382425.1,Empedobacter,Weeksellaceae,3792478,100,False,2,GCA_000382425.1,247,6.955787102,0.214285714,5.27E-07,0.001582079,0.065128921,0.00052736
1700,GCA_000745795.1,49,1.723531481,2843,GCA_000745795.1,6,15,0.211044671,GCA_000745795.1,Chryseobacterium,Weeksellaceae,3032664,100,False,2,GCA_000745795.1,219,7.703130496,0.218181818,6.59E-07,0.001978459,0.072213737,0.000659486
407,GCA_000189415.1,48,2.268431002,2116,GCA_000189415.1,6,4,0.283553875,GCA_000189415.1,Weeksella,Weeksellaceae,2272954,100,False,1,GCA_000189415.1,165,7.797731569,0.222222222,4.40E-07,0.002639737,0.072592758,0.000439956
0,GCA_002431085.1,47,1.70413343,2758,GCA_002431085.1,6,19,0.217548949,GCA_002431085.1,Empedobacter,Weeksellaceae,2944839,97.85,True,1,GCA_002431085.1,198,7.179115301,0.226415094,3.40E-07,0.002037463,0.067236273,0.000339577
2195,GCA_002713705.1,46,1.957446809,2350,GCA_002713705.1,6,21,0.255319149,GCA_002713705.1,GCA-002733185,Flavobacteriaceae,2545681,94.3,True,1,GCA_002713705.1,157,6.680851064,0.230769231,3.93E-07,0.002356933,0.061673085,0.000392822
672,GCA_002388845.1,45,1.527494908,2946,GCA_002388845.1,6,5,0.203665988,GCA_002388845.1,Marixanthomonas,Flavobacteriaceae,3141286,99.23,True,2,GCA_002388845.1,222,7.535641548,0.235294118,6.37E-07,0.001910046,0.070671693,0.000636682
1118,GCA_001865835.1,44,1.23769339,3555,GCA_001865835.1,6,8,0.168776371,GCA_001865835.1,Myroides,Flavobacteriaceae,4065010,99.65,False,1,GCA_001865835.1,258,7.257383966,0.24,2.46E-07,0.001476011,0.063468479,0.000246002
233,GCA_002478375.1,43,1.475634866,2914,GCA_002478375.1,6,17,0.205902539,GCA_002478375.1,Kaistella,Weeksellaceae,2770045,93.03,True,3,GCA_002478375.1,192,6.588881263,0.244897959,1.08E-06,0.00216603,0.069312953,0.001083015
1058,GCA_002376925.1,43,2.69761606,1594,GCA_002376925.1,6,22,0.376411543,GCA_002376925.1,UBA3537,Flavobacteriaceae,1811734,82.13,True,1,GCA_002376925.1,101,6.336260979,0.244897959,5.52E-07,0.003311744,0.055747698,0.000551957
1932,GCA_002323475.1,42,3.095062638,1357,GCA_002323475.1,6,24,0.442151805,GCA_002323475.1,UBA8316,Flavobacteriaceae,1529292,77.28,True,1,GCA_002323475.1,96,7.074428887,0.25,6.54E-07,0.003923384,0.062774146,0.000653897
394,GCA_902705525.1,42,1.312089972,3201,GCA_902705525.1,6,13,0.187441425,GCA_902705525.1,Tenacibaculum,Flavobacteriaceae,3525105,99.22,False,2,GCA_902705525.1,225,7.029053421,0.25,5.67E-07,0.001702077,0.063827886,0.000567359
396,GCA_002684355.1,41,2.924393723,1402,GCA_002684355.1,6,18,0.427960057,GCA_002684355.1,UBA3537,Flavobacteriaceae,1565616,79.89,True,1,GCA_002684355.1,95,6.776034237,0.255319149,6.39E-07,0.003832357,0.060678992,0.000638726
2181,GCA_902705365.1,41,1.364846871,3004,GCA_902705365.1,6,13,0.199733688,GCA_902705365.1,Tenacibaculum,Flavobacteriaceae,3332375,99.22,False,2,GCA_902705365.1,215,7.157123835,0.255319149,6.00E-07,0.001800518,0.064518549,0.000600173
2369,GCA_000293175.1,41,1.586073501,2585,GCA_000293175.1,6,15,0.232108317,GCA_000293175.1,Capnocytophaga,Flavobacteriaceae,2785060,100,False,6,GCA_000293175.1,152,5.880077369,0.255319149,2.15E-06,0.002154352,0.054576921,0.002154352
1719,GCA_002296555.1,37,1.239115874,2986,GCA_002296555.1,6,17,0.200937709,GCA_002296555.1,Empedobacter,Weeksellaceae,2467063,70.22,True,3,GCA_002296555.1,149,4.989953115,0.279069767,1.22E-06,0.002432042,0.060395701,0.001216021
1432,GCA_000242075.2,37,1.040494938,3556,GCA_000242075.2,6,8,0.168728909,GCA_000242075.2,Myroides,Flavobacteriaceae,4026612,99.65,False,1,GCA_000242075.2,256,7.199100112,0.279069767,2.48E-07,0.001490086,0.063577022,0.000248348
336,GCA_002702895.1,36,2.102803738,1712,GCA_002702895.1,6,18,0.35046729,GCA_002702895.1,MAG-121220-bin8,Flavobacteriaceae,1865845,97.3,True,2,GCA_002702895.1,141,8.235981308,0.285714286,1.07E-06,0.003215701,0.075568978,0.0010719
2525,GCA_002728635.1,35,2.49821556,1401,GCA_002728635.1,6,19,0.428265525,GCA_002728635.1,MED-G14,Flavobacteriaceae,1512600,93.67,True,2,GCA_002728635.1,103,7.351891506,0.292682927,1.32E-06,0.00396668,0.068094671,0.001322227
2213,GCA_002862645.1,33,2.560124127,1289,GCA_002862645.1,6,17,0.465477114,GCA_002862645.1,UBA7446,Flavobacteriaceae,1409097,80.08,True,1,GCA_002862645.1,104,8.068269977,0.307692308,7.10E-07,0.004258046,0.073806133,0.000709674
1164,GCA_002964975.1,33,1.312649165,2514,GCA_002964975.1,6,6,0.238663484,GCA_002964975.1,Apibacter,Weeksellaceae,2756245,100,False,1,GCA_002964975.1,192,7.637231504,0.307692308,3.63E-07,0.002176875,0.06965999,0.000362812
1038,GCA_002382825.1,31,2.206405694,1405,GCA_002382825.1,6,14,0.427046263,GCA_002382825.1,MAG-120531,Flavobacteriaceae,1624322,71.05,True,1,GCA_002382825.1,97,6.903914591,0.324324324,6.16E-07,0.003693849,0.059717224,0.000615641
988,GCA_002477585.1,30,2.145922747,1398,GCA_002477585.1,6,12,0.429184549,GCA_002477585.1,MAG-120531,Flavobacteriaceae,1548555,80.82,True,1,GCA_002477585.1,102,7.296137339,0.333333333,6.46E-07,0.00387458,0.065867857,0.000645763
1829,GCA_002478685.1,30,2.223869533,1349,GCA_002478685.1,6,9,0.444773907,GCA_002478685.1,UBA7446,Flavobacteriaceae,1454957,90.69,True,2,GCA_002478685.1,100,7.412898443,0.333333333,1.37E-06,0.004123833,0.068730554,0.001374611
2163,GCA_002728075.1,29,1.773700306,1635,GCA_002728075.1,6,18,0.366972477,GCA_002728075.1,TMED96,Flavobacteriaceae,1684994,90.62,True,2,GCA_002728075.1,92,5.626911315,0.342857143,1.19E-06,0.003560844,0.054599601,0.001186948
399,GCA_002169865.1,29,3.046218487,952,GCA_002169865.1,6,18,0.630252101,GCA_002169865.1,MS024-2A,Flavobacteriaceae,1039252,61.03,True,1,GCA_002169865.1,61,6.407563025,0.342857143,9.62E-07,0.005773383,0.058696062,0.000962231
2053,GCA_002380565.1,23,0.899843505,2556,GCA_002380565.1,6,6,0.234741784,GCA_002380565.1,Kaistella,Weeksellaceae,2206501,87.54,True,2,GCA_002380565.1,141,5.516431925,0.413793103,9.06E-07,0.002719237,0.063902078,0.000906412
1211,GCA_002336225.1,22,1.813685078,1213,GCA_002336225.1,6,7,0.494641385,GCA_002336225.1,MAG-120531,Flavobacteriaceae,1346486,61.35,True,1,GCA_002336225.1,75,6.183017312,0.428571429,7.43E-07,0.004456043,0.055700542,0.000742674
1925,GCA_003506685.1,22,0.944206009,2330,GCA_003506685.1,6,3,0.25751073,GCA_003506685.1,UBA7949,Flavobacteriaceae,2591105,80.9,True,2,GCA_003506685.1,167,7.167381974,0.428571429,7.72E-07,0.002315614,0.064451267,0.000771871
735,GCA_002389235.1,21,1.557863501,1348,GCA_002389235.1,6,12,0.445103858,GCA_002389235.1,MS024-2A,Flavobacteriaceae,1440231,78.95,True,1,GCA_002389235.1,86,6.379821958,0.444444444,6.94E-07,0.004165998,0.059712643,0.000694333
1965,GCA_002313325.1,18,1.791044776,1005,GCA_002313325.1,6,3,0.597014925,GCA_002313325.1,UBA7446,Flavobacteriaceae,1057864,71.58,True,2,GCA_002313325.1,71,7.064676617,0.5,1.89E-06,0.005671807,0.067116378,0.001890602
1483,GCA_002691165.1,11,1.591895803,691,GCA_002691165.1,6,5,0.868306802,GCA_002691165.1,MED-G14,Flavobacteriaceae,761373,54.31,True,1,GCA_002691165.1,53,7.670043415,0.705882353,1.31E-06,0.0078805,0.069611084,0.001313417
2158,GCA_003946915.1,198,4.740244194,4177,GCA_003946915.1,7,130,0.167584391,GCA_003946915.1,Flavobacterium,Flavobacteriaceae,4935907,99.65,False,5,GCA_003946915.1,348,8.331338281,0.068292683,1.01E-06,0.001418179,0.070503759,0.001012985
227,GCA_002893765.1,187,5.126096491,3648,GCA_002893765.1,7,88,0.191885965,GCA_002893765.1,Tamlana_A,Flavobacteriaceae,4116543,98.68,False,3,GCA_002893765.1,240,6.578947368,0.072164948,7.29E-07,0.001700456,0.058301347,0.000728767
1139,GCA_001632745.1,170,3.205732604,5303,GCA_001632745.1,7,113,0.132000754,GCA_001632745.1,Aquimarina,Flavobacteriaceae,6186893,99.62,False,8,GCA_001632745.1,430,8.108617764,0.079096045,1.29E-06,0.001131424,0.069501768,0.001293056
1662,GCA_002715605.1,154,3.619271445,4255,GCA_002715605.1,7,77,0.164512338,GCA_002715605.1,Euzebyella,Flavobacteriaceae,4898945,99.65,True,6,GCA_002715605.1,394,9.259694477,0.086956522,1.22E-06,0.001428879,0.080425479,0.001224753
1016,GCA_003386195.1,136,4.576043069,2972,GCA_003386195.1,7,91,0.235531629,GCA_003386195.1,Seonamhaeicola,Flavobacteriaceae,3508581,99.01,False,1,GCA_003386195.1,230,7.738896366,0.097902098,2.85E-07,0.001995109,0.065553567,0.000285016
2219,GCA_002727005.1,122,3.834066625,3182,GCA_002727005.1,7,78,0.219987429,GCA_002727005.1,Leeuwenhoekiella,Flavobacteriaceae,3607969,55.49,True,2,GCA_002727005.1,204,6.411062225,0.108527132,5.54E-07,0.00194015,0.056541506,0.000554328
1305,GCA_002023145.1,112,3.029483365,3697,GCA_002023145.1,7,61,0.18934271,GCA_002023145.1,Elizabethkingia,Weeksellaceae,3979883,100,False,2,GCA_002023145.1,274,7.411414661,0.117647059,5.03E-07,0.001758846,0.068846245,0.000502527
1435,GCA_000799325.1,110,2.39965096,4584,GCA_000799325.1,7,62,0.152705061,GCA_000799325.1,Chryseobacterium,Weeksellaceae,4978681,100,False,8,GCA_000799325.1,350,7.635253054,0.11965812,1.61E-06,0.001405995,0.070299744,0.001606851
1524,GCA_014220725.1,109,2.908993862,3747,GCA_014220725.1,7,63,0.18681612,GCA_014220725.1,Elizabethkingia,Weeksellaceae,4046602,100,False,3,GCA_014220725.1,278,7.419268748,0.120689655,7.41E-07,0.001729846,0.068699615,0.000741363
1735,GCA_002023305.1,101,2.723840345,3708,GCA_002023305.1,7,58,0.188781014,GCA_002023305.1,Elizabethkingia,Weeksellaceae,4068217,100,False,2,GCA_002023305.1,271,7.308522114,0.12962963,4.92E-07,0.001720656,0.066613949,0.000491616
2361,GCA_002696215.1,95,2.399595858,3959,GCA_002696215.1,7,49,0.176812326,GCA_002696215.1,Muricauda,Flavobacteriaceae,4297865,84.72,True,5,GCA_002696215.1,312,7.880777974,0.137254902,1.16E-06,0.001628716,0.072594183,0.001163368
2243,GCA_002005425.1,93,3.283898305,2832,GCA_002005425.1,7,39,0.247175141,GCA_002005425.1,Polaribacter,Flavobacteriaceae,3254403,99.33,False,3,GCA_002005425.1,210,7.415254237,0.14,9.22E-07,0.002150932,0.064527964,0.000921828
