,sample_attribute
55,geo_loc_name: missing || lat_lon: not collected || num_replicons: missing || project_name: Muricauda sp. MAR_2010_75 || isol_growth_condt: missing || biome: missing || strain: MAR_2010_75 || ref_biomaterial: missing || feature: missing || collection_date: not collected || env_package: missing || material: missing || investigation_type: bacteria_archaea || BioSampleModel: MIGS.ba
56,geo_loc_name: missing || lat_lon: not collected || num_replicons: missing || project_name: Salegentibacter sp. Hel_I_6 || isol_growth_condt: missing || biome: missing || strain: Hel_I_6 || ref_biomaterial: missing || feature: missing || collection_date: not collected || env_package: missing || material: missing || investigation_type: bacteria_archaea || BioSampleModel: MIGS.ba
57,geo_loc_name: missing || lat_lon: not collected || num_replicons: missing || project_name: Chryseobacterium sp. CF365 || isol_growth_condt: missing || biome: missing || strain: CF365 || ref_biomaterial: missing || feature: missing || collection_date: not collected || env_package: missing || material: missing || investigation_type: bacteria_archaea || BioSampleModel: MIGS.ba
58,geo_loc_name: missing || lat_lon: not collected || num_replicons: missing || project_name: Flavobacterium sp. Fl || isol_growth_condt: missing || biome: missing || strain: Fl || ref_biomaterial: missing || feature: missing || collection_date: not collected || env_package: missing || material: missing || investigation_type: bacteria_archaea || BioSampleModel: MIGS.ba
59,geo_loc_name: missing || lat_lon: not collected || num_replicons: missing || project_name: Chryseobacterium sp. OV259 || isol_growth_condt: missing || biome: missing || strain: OV259 || ref_biomaterial: missing || feature: missing || collection_date: not collected || env_package: missing || material: missing || investigation_type: bacteria_archaea || BioSampleModel: MIGS.ba
60,geo_loc_name: missing || lat_lon: not collected || num_replicons: missing || project_name: Chryseobacterium sp. CF284 || isol_growth_condt: missing || biome: missing || strain: CF284 || ref_biomaterial: missing || feature: missing || collection_date: not collected || env_package: missing || material: missing || investigation_type: bacteria_archaea || BioSampleModel: MIGS.ba
61,host: missing || host_disease: missing || isolate: missing || strain: ATCC 33958 || culture_collection: ATCC:33958 || collected_by: John H. Elder and Stephen Alexander || collection_date: 1982 || geo_loc_name: USA || isolation_source: contaminated commercial preparation of carboxipeptidase A || lat_lon: 32.894866 N 117.238959 W || BioSampleModel: Pathogen.cl
62,geo_loc_name: missing || lat_lon: not collected || num_replicons: missing || project_name: Chryseobacterium sp. YR460 || isol_growth_condt: missing || biome: missing || strain: YR460 || ref_biomaterial: missing || feature: missing || collection_date: not collected || env_package: missing || material: missing || investigation_type: bacteria_archaea || BioSampleModel: MIGS.ba
63,geo_loc_name: missing || lat_lon: not collected || num_replicons: missing || project_name: Chryseobacterium sp. YR459 || isol_growth_condt: missing || biome: missing || strain: YR459 || ref_biomaterial: missing || feature: missing || collection_date: not collected || env_package: missing || material: missing || investigation_type: bacteria_archaea || BioSampleModel: MIGS.ba
64,geo_loc_name: missing || lat_lon: not collected || num_replicons: missing || project_name: Chryseobacterium sp. YR005 || isol_growth_condt: missing || biome: missing || strain: YR005 || ref_biomaterial: missing || feature: missing || collection_date: not collected || env_package: missing || material: missing || investigation_type: bacteria_archaea || BioSampleModel: MIGS.ba
65,geo_loc_name: missing || lat_lon: not collected || num_replicons: missing || project_name: Chryseobacterium sp. YR480 || isol_growth_condt: missing || biome: missing || strain: YR480 || ref_biomaterial: missing || feature: missing || collection_date: not collected || env_package: missing || material: missing || investigation_type: bacteria_archaea || BioSampleModel: MIGS.ba
66,geo_loc_name: missing || lat_lon: not collected || num_replicons: missing || project_name: Chryseobacterium sp. YR485 || isol_growth_condt: missing || biome: missing || strain: YR485 || ref_biomaterial: missing || feature: missing || collection_date: not collected || env_package: missing || material: missing || investigation_type: bacteria_archaea || BioSampleModel: MIGS.ba
67,geo_loc_name: missing || lat_lon: not collected || num_replicons: missing || project_name: Chryseobacterium sp. YR477 || isol_growth_condt: missing || biome: missing || strain: YR477 || ref_biomaterial: missing || feature: missing || collection_date: not collected || env_package: missing || material: missing || investigation_type: bacteria_archaea || BioSampleModel: MIGS.ba
68,geo_loc_name: missing || lat_lon: not collected || num_replicons: missing || project_name: Chryseobacterium sp. YR561 || isol_growth_condt: missing || biome: missing || strain: YR561 || ref_biomaterial: missing || feature: missing || collection_date: not collected || env_package: missing || material: missing || investigation_type: bacteria_archaea || BioSampleModel: MIGS.ba
69,geo_loc_name: missing || lat_lon: not collected || num_replicons: missing || project_name: Psychroserpens sp. Hel_I_66 || isol_growth_condt: missing || biome: missing || strain: Hel_I_66 || ref_biomaterial: missing || feature: missing || collection_date: not collected || env_package: missing || material: missing || investigation_type: bacteria_archaea || BioSampleModel: MIGS.ba
70,geo_loc_name: missing || lat_lon: not collected || num_replicons: missing || project_name: Chryseobacterium sp. CF356 || isol_growth_condt: missing || biome: missing || strain: CF356 || ref_biomaterial: missing || feature: missing || collection_date: not collected || env_package: missing || material: missing || investigation_type: bacteria_archaea || BioSampleModel: MIGS.ba
71,geo_loc_name: missing || lat_lon: not collected || num_replicons: missing || project_name: Cellulophaga sp. Hel_I_12 || isol_growth_condt: missing || biome: missing || strain: Hel_I_12 || ref_biomaterial: missing || feature: missing || collection_date: not collected || env_package: missing || material: missing || investigation_type: bacteria_archaea || BioSampleModel: MIGS.ba
72,geo_loc_name: missing || lat_lon: not collected || num_replicons: missing || project_name: Chryseobacterium sp. OV705 || isol_growth_condt: missing || biome: missing || strain: OV705 || ref_biomaterial: missing || feature: missing || collection_date: not collected || env_package: missing || material: missing || investigation_type: bacteria_archaea || BioSampleModel: MIGS.ba
73,geo_loc_name: missing || lat_lon: not collected || num_replicons: missing || project_name: Chryseobacterium sp. OV715 || isol_growth_condt: missing || biome: missing || strain: OV715 || ref_biomaterial: missing || feature: missing || collection_date: not collected || env_package: missing || material: missing || investigation_type: bacteria_archaea || BioSampleModel: MIGS.ba
74,"host: Arabidopsis thaliana || isolation_source: leaf || collection_date: 2004-05-04 || geo_loc_name: USA: Michigan State University Extension, Berrien County, Michigan || sample_type: cell culture || biomaterial_provider: Joy Bergelson, Ecology and Evolution, University of Chicago, 1101 E. 57th St., Chicago, IL 60637, USA || collected_by: Brian Traw || env_biome: plant-associated habitat || host_tissue_sampled: leaf || lat_lon: 42.0927 N 86.356322 W || strain: MEB061 || BioSampleModel: Microbe, viral or environmental"
75,strain: Hel_I _90 || collection_date: Not collected || depth: 0 m || env_biome: Marine || env_feature: Sea water || env_material: Surface seawater || geo_loc_name: Germany: Helgoland || isol_growth_condt: Not collected || lat_lon: 54.184 N 7.9 E || num_replicons: Not collected || ref_biomaterial: Not collected || BioSampleModel: MIGS.ba || BioSampleModel: MIGS/MIMS/MIMARKS.water
76,"strain: CC-HSB-11 || isolation_source: a coastal hot spring || collection_date: 2008 || geo_loc_name: Taiwan: Green Island || sample_type: whole organism || type-material: type strain of Muricauda lutaonensis || BioSampleModel: Microbe, viral or environmental"
77,"host: Anopheles gambiae || collection_date: 2013-04-24 || geo_loc_name: USA || strain: As1 || sample_type: pure culture || isolation_source: whole mosquito body || BioSampleModel: Microbe, viral or environmental"
78,collected_by: UW clinical laboratory || collection_date: Unknown || geo_loc_name: USA: WA || host: Homo sapiens || host_disease: missing || isolation_source: missing || lat_lon: missing || strain: 490_CAPN || BioSampleModel: Pathogen.cl
79,"strain: R-53146 || isolation_source: missing || collection_date: not collected || geo_loc_name: missing || sample_type: whole organism || type-material: type strain of Apibacter mensalis || BioSampleModel: Microbe, viral or environmental"
80,"strain: R-53146 || isolation_source: missing || collection_date: not collected || geo_loc_name: missing || sample_type: whole organism || type-material: type strain of Apibacter mensalis || BioSampleModel: Microbe, viral or environmental"
81,"host_disease: respiratory infection || isolation_source: sputum || strain: 12012-2 PRCM || host_sex: male || geo_loc_name: China: Quanzhou, Fujian, Quanzhou Hospital || host: Homo sapiens || host_disease_outcome: died || collected_by: Desong Ming || collection_date: 2009 || lat_lon: 24.9 N 118.6 E || host_age: 82 || BioSampleModel: Pathogen.cl"
82,"host_disease: the hyperplasia of prostate and acute urinary retention;urinary tract infections || isolation_source: urine || strain: 719127 || host_sex: male || geo_loc_name: China: Quanzhou, Fujian, Quanzhou Hospital || host: Homo sapiens || host_disease_outcome: cured || collected_by: Desong Ming || collection_date: 2013 || lat_lon: 24.9 N 118.6 E || host_age: 73 || BioSampleModel: Pathogen.cl"
83,"strain: TAB 87 || isolation_source: sea water || collection_date: Jan-2012 || geo_loc_name: Antarctica || sample_type: environmental sample || BioSampleModel: Microbe, viral or environmental"
84,"strain: LP1 || collection_date: 04-Aug-2009 || depth: 2357 meters below sea level || elev: 0 || env_biome: marine hydrothermal vent || env_feature: marine hydrothermal vent chimney || env_material: microbial mat material || geo_loc_name: Norway: Arctic Mid-Ocean Ridge hydrothermal vent field || lat_lon: 73.3 N 8 E || num_replicons: 1 || ref_biomaterial: missing || isolation_source: marine hydrothermal vent biofilm || sample_type: cell culture || type-material: type strain of Lutibacter profundi || BioSampleModel: Microbe, viral or environmental"
85,isolation_source: missing || geo_loc_name: USA: WI || collected_by: missing || host_disease: missing || collection_date: 01-Feb-2016 || lat_lon: missing || host: Homo sapiens || strain: CSID_3015183678 || BioSampleModel: Pathogen.cl
86,isolation_source: missing || geo_loc_name: USA: WI || collected_by: missing || host_disease: missing || collection_date: 01-Feb-2016 || lat_lon: missing || host: Homo sapiens || strain: CSID_3015183678 || BioSampleModel: Pathogen.cl
87,strain: CSID_3015183684 || collected_by: missing || collection_date: 01-Feb-2016 || isolation_source: blood || geo_loc_name: USA: WI || lat_lon: missing || host: Homo sapiens || host_disease: missing || BioSampleModel: Pathogen.cl
88,isolation_source: missing || geo_loc_name: USA: WI || collected_by: missing || host_disease: missing || collection_date: 01-Feb-2016 || lat_lon: missing || host: Homo sapiens || strain: CSID_3000521207 || BioSampleModel: Pathogen.cl
89,isolation_source: missing || geo_loc_name: USA: WI || collected_by: missing || host_disease: missing || collection_date: 01-Feb-2016 || lat_lon: missing || host: Homo sapiens || strain: CSID_3015183681 || BioSampleModel: Pathogen.cl
90,"strain: C#2 || host: warmwater fish || collection_date: 2004 || geo_loc_name: Unknown || sample_type: cell culture || BioSampleModel: Microbe, viral or environmental"
91,"strain: MOF25P || host: rainbow trout || collection_date: 2006 || geo_loc_name: United Kingdom: Scotland || sample_type: pure culture || biomaterial_provider: University Of stirling, Institute of Aquaculture || collected_by: University of Stirling, Institute of Aquaculture || BioSampleModel: Microbe, viral or environmental"
92,"strain: BGARF1 || host: rainbow trout || collection_date: 2006 || geo_loc_name: United Kingdom: Scotland || sample_type: bacterial pure culture || BioSampleModel: Microbe, viral or environmental"
93,"strain: CBo1 || host: Bactrocera oleae || collection_date: Dec-2015 || geo_loc_name: Greece:Crete || sample_type: cell culture || lat_lon: 35.35 N 24.450000000000045 E || BioSampleModel: Microbe, viral or environmental"
94,"sample_name: Arenibacter sp. C-21 || locus_tag_prefix: C21 || strain: C-21 || collection_date: 2004-01-04 || env_biome: missing || env_feature: missing || env_material: marine sediment (ENVO:00002113) || geo_loc_name: Japan || lat_lon: missing || project_name: Genome sequencing of bacteria contributing to the geochemical cycling of arsenic, bromine, and iodine. || isol_growth_condt: 17933915 || ref_biomaterial: missing || num_replicons: missing || BioSampleModel: MIGS.ba"
95,isolation-source: urine || nat-host: Homo sapiens || strain:  HMSC059D05
96,"strain: FPG87 || host: Oncorhynchus mykiss || collection_date: 2005 || geo_loc_name: Canada || sample_type: ulcer || BioSampleModel: Microbe, viral or environmental"
97,"strain: FPG103 || host: Oncorhynchus mykiss || collection_date: 2009 || geo_loc_name: Canada || sample_type: ulcer || BioSampleModel: Microbe, viral or environmental"
98,"strain: ATCC 35103 || isolation_source: soil || collection_date: Oct-1983 || geo_loc_name: USA: Rocky Hill, New Jersey || sample_type: Pure culture || culture_collection: ATCC:35103 || Historical Monobactam Produced: SQ-28502/503 || Unique Monobactam Clusters Identified: MAC-201, MAC-202, MAC-203 || BioSampleModel: Microbe, viral or environmental"
99,"strain: CSF-298-10 || host: Oncorhynchus mykiss || isolation_source: gill || collection_date: 2010 || geo_loc_name: USA: Snake River Valley, Idaho || sample_type: cell culture || BioSampleModel: Microbe, viral or environmental"
100,"strain: 61421 PRCM || collected_by: Desong Ming || collection_date: 2006-05-17 || geo_loc_name: China: Quanzhou, Fujian || host: Homo sapiens || host_disease: intracranial infection || isolation_source: missing || lat_lon: 24.54 N 118.37 E || BioSampleModel: Pathogen.cl"
101,"sample_type: cell culture || geo_loc_name: USA:Chicago, Lake Michigan || collection_date: 30-Oct-2015 || biomaterial_provider: Crosson Lab || altitude: 181 m || isolation_source: freshwater lake || depth: 0.5 m || collected_by: Kristy Hentchel || env_biome: freshwater lake || temp: 65 degrees F || lat_lon: 41.795262 N 87.576481 W || strain: LM4 || BioSampleModel: Microbe, viral or environmental"
102,"sample_type: cell culture || geo_loc_name: USA:Chicago, Lake Michigan || collection_date: 30-Oct-2015 || biomaterial_provider: Crosson Lab || altitude: 181 m || isolation_source: freshwater lake || depth: 0.5 m || collected_by: Kristy Hentchel || env_biome: freshwater lake || temp: 65 degrees F || lat_lon: 41.795262 N 87.576481 W || strain: LM5 || BioSampleModel: Microbe, viral or environmental"
103,"geo_loc_name: Canada || isolation_source: skin of fish with ulcerative dermatitis || sample_type: ulcer || strain: FPG48 || host: Oncorhynchus mykiss || collection_date: 1997 || BioSampleModel: Microbe, viral or environmental"
104,"geo_loc_name: Canada: Ontario || isolation_source: missing || sample_type: whole organism || strain: FPG59 || biomaterial_provider: Dr. Janet I. MacInnes || host: Oncorhynchus mykiss || collection_date: 1997 || BioSampleModel: Microbe, viral or environmental"
105,"geo_loc_name: Canada || isolation_source: skin of fish with ulcerative dermatitis || sample_type: ulcer || strain: FPG92 || host: Oncorhynchus mykiss || collection_date: 2005 || BioSampleModel: Microbe, viral or environmental"
106,"geo_loc_name: Canada || isolation_source: missing || sample_type: ulcer || strain: FPG1W08 || host: Oncorhynchus mykiss || collection_date: 2008 || BioSampleModel: Microbe, viral or environmental"
107,"geo_loc_name: Canada: Ontario || isolation_source: kidney of fish with systemic disease || sample_type: whole organism || strain: FPG102 || host: Oncorhynchus mykiss || collection_date: 2009 || BioSampleModel: Microbe, viral or environmental"
108,geo_loc_name: USA:DC || collected_by: Children's National Hospital || isolation_source: throat || collection_date: 12-Jan-2015 || strain: FDAARGOS_337 || lat_lon: Not Applicable || strain_name_alias: FDAARGOS_337 || identification method: Phenotypic identification || host_sex: male || host_disease: Cystic fibrosis || host_age: 5Y || host: Homo sapiens || culture_collection: FDA:FDAARGOS_337 || isolate: Not Applicable || host_disease_outcome: Missing || host_health_state: Missing || host_description: Missing || host_disease_stage: Missing || BioSampleModel: Pathogen.cl
109,"strain: T16E-39 || host: Solanum lycopersicum || isolation_source: Root endosphere || collection_date: 2015-05-23 || geo_loc_name: South Korea: Buyeo || sample_type: cell culture || biomaterial_provider: Hang-Yeon weon || lat_lon: 36.2934270 N 126.9317180 E || BioSampleModel: Microbe, viral or environmental"
110,FDA CVM ID: CVM 43416 || strain: DSM 18293 || collected_by: missing || collection_date: missing || geo_loc_name: Germany:Westhofer Bach || isolation_source: spring water || lat_lon: missing || culture-collection: DSM:18293 || type-material: type strain of Flavobacterium aquidurense || BioSampleModel: Pathogen.env
111,FDA CVM ID: CVM AQ-18 || lat_lon: missing || collection_date: 1977 || collected_by: missing || strain: ATCC 35035 || geo_loc_name: Japan:Gunma || isolation_source: Oncorynchus masou || culture-collection: ATCC:35035 || type-material: type strain of Flavobacterium branchiophilum || BioSampleModel: Pathogen.env
112,"FDA CVM ID: CVM 41392 || strain: ATCC 11947 || collected_by: missing || collection_date: 1955 || geo_loc_name: United Kingdom:Kent, England || isolation_source: deep well || lat_lon: missing || culture-collection: ATCC:11947 || type-material: type strain of Flavobacterium aquatile || BioSampleModel: Pathogen.env"
113,"FDA CVM ID: CVM 22644 || strain: ATCC 23463 || collected_by: missing || collection_date: missing || geo_loc_name: USA: Snake River, WA || isolation_source: Oncorynchus tshawytscha || lat_lon: missing || culture-collection: ATCC:23463 || type-material: type strain of Flavobacterium columnare || BioSampleModel: Pathogen.env"
114,FDA CVM ID: CVM 43414 || strain: DSM 15937 || collected_by: missing || collection_date: missing || geo_loc_name: Antarctica || isolation_source: seawater || lat_lon: missing || culture-collection: DSM:15937 || type-material: type strain of Flavobacterium frigidimaris || BioSampleModel: Pathogen.env
115,FDA CVM ID: CVM 43415 || strain: DSM 18292 || collected_by: missing || collection_date: missing || geo_loc_name: Germany:Westhofer Bach || isolation_source: stream water || lat_lon: missing || culture-collection: DSM:18292 || type-material: type strain of Flavobacterium hercynium || BioSampleModel: Pathogen.env
116,FDA CVM ID: CVM 43443 || strain: ATCC 51468 || collected_by: missing || collection_date: missing || geo_loc_name: Antarctica || isolation_source: freshwater lake || lat_lon: missing || culture-collection: ATCC:51468 || type-material: type strain of Flavobacterium hibernum || BioSampleModel: Pathogen.env
117,FDA CVM ID: CVM 41393 || strain: ATCC 29551 || collected_by: missing || collection_date: 1974 || geo_loc_name: USA:hatchery in Michigan || isolation_source: salmon || lat_lon: missing || culture-collection: ATCC:29551 || type-material: type strain of Flavobacterium hydatis || BioSampleModel: Pathogen.env
118,FDA CVM ID: CVM 43445 || strain: CCUG 59446 || collected_by: missing || collection_date: 2008 || geo_loc_name: Spain || isolation_source: Oncorhynchus mykiss || lat_lon: missing || culture-collection: CCUG:59446 || type-material: type strain of Flavobacterium oncorhynchi || BioSampleModel: Pathogen.env
119,FDA CVM ID: CVM 43442 || strain: ATCC 19366 || collected_by: missing || collection_date: missing || geo_loc_name: United Kingdom:Southern England || isolation_source: soil || lat_lon: missing || culture-collection: ATCC:19366 || type-material: type strain of Flavobacterium pectinovorum || BioSampleModel: Pathogen.env
120,FDA CVM ID: CVM AQ-21 || lat_lon: missing || collection_date: 2008 || collected_by: missing || strain: CCUG 60112 || geo_loc_name: Spain:central part || isolation_source: Oncorhynchus mykiss || culture-collection: CCUG:60112 || type-material: type strain of Flavobacterium plurextorum || BioSampleModel: Pathogen.env
121,FDA CVM ID: CVM AQ-16 || lat_lon: missing || collection_date: missing || collected_by: missing || strain: ATCC 49418 || geo_loc_name: USA:WA || isolation_source: Oncorynchus kisutch || culture-collection: ATCC:49418 || type-material: type strain of Flavobacterium psychrophilum || BioSampleModel: Pathogen.env
122,FDA CVM ID: CVM 43417 || strain: DSM 21791 || collected_by: missing || collection_date: missing || geo_loc_name: Germany:Westerhofer Bach || isolation_source: hard water rivulet || lat_lon: missing || culture-collection: DSM:21791 || type-material: type strain of Flavobacterium reichenbachii || BioSampleModel: Pathogen.env
123,"FDA CVM ID: CVM 43441 || strain: ATCC BAA-2541 || collected_by: missing || collection_date: missing || geo_loc_name: USA:Rogers City, MI || isolation_source: Oncorynchus tshawytscha || lat_lon: missing || culture-collection: ATCC:BAA-2541 || type-material: type strain of Flavobacterium spartansii || BioSampleModel: Pathogen.env"
124,FDA CVM ID: CVM AQ-20 || lat_lon: missing || collection_date: 2008 || collected_by: missing || strain: CCUG 60100 || geo_loc_name: Spain:fish farm || isolation_source: Oncorhynchus mykiss || culture-collection: CCUG:60100 || type-material: type strain of Flavobacterium tructae || BioSampleModel: Pathogen.env
125,FDA CVM ID: CVM 41394 || strain: ATCC 17061 || collected_by: missing || collection_date: missing || geo_loc_name: United Kingdom:England || isolation_source: soil || lat_lon: missing || culture-collection: ATCC:17061 || type-material: type strain of Flavobacterium johnsoniae || BioSampleModel: Pathogen.env
126,FDA CVM ID: CVM AQ-19 || lat_lon: missing || collection_date: 2009 || collected_by: missing || strain: CCUG 60099 || geo_loc_name: Spain:fish farm || isolation_source: Oncorhynchus mykiss || culture-collection: CCUG:60099 || type-material: type strain of Flavobacterium piscis || BioSampleModel: Pathogen.env
127,FDA CVM ID: CVM 43413 || strain: DSM 24704 || collected_by: missing || collection_date: 2008 || geo_loc_name: Chile:Concepcion || isolation_source: Salmo salar || lat_lon: missing || culture-collection: DSM:24704 || type-material: type strain of Flavobacterium araucananum || BioSampleModel: Pathogen.env
128,
129,geo_loc_name: Sweden || collected_by: ATCC < CCUG < PHL || isolation_source: blood || collection_date: Missing || strain: FDAARGOS_198 || lat_lon: Not Applicable || strain_name_alias: FDAARGOS_198 || identification method: Phenotypic identification || host_sex: Missing || host_disease: Infection with Elizabethkingia meningoseptica || host_age: Missing || host: Homo sapiens || culture_collection: ATCC:51720D || isolate: Not Applicable || host_disease_outcome: Missing || host_health_state: Missing || host_description: Missing || host_disease_stage: Missing || BioSampleModel: Pathogen.cl
130,culture_collection: ATCC:BAA-1782 || isolation_source: ATCC || strain: ATCC BAA-1782 || PublicAccession: CFSAN055505 || isolate_name_alias: 4EL19-4EL24 || collected_by: FDA || geo_loc_name: USA:PA || lat_lon: missing || ProjectAccession: PRJNA342323 || collection_date: 2016 || Species: piperi || Genus: Chryseobacterium || attribute_package: environmental/food/other || type-material: type strain of Chryseobacterium piperi || BioSampleModel: Pathogen.env
131,"assembly_method: CLC de novo assembler || assembly_method_version: 4.4.1 || collection_date: not applicable || completeness_estimated: 80.51% || contamination_estimated: 2.41% || environmental_sample: true || genome_coverage: 10.22 || geo_loc_name: NULL || isolate: UBA807 || isolation-source: Activated sludge from a full-scale wastewater treatment plant || mapping_method: BWA (BWA-MEM) || mapping_method_version: 0.7.12-r1039 || metagenome_source: metagenome || metagenomic: true || quality_assessment_method: CheckM || quality_assessment_method_version: 1.0.6 || sample_type: metagenomic assembly || subsrc_note: Genome binned from sequencing reads available in SRX201543 metagenome || value: This BioSample is a metagenomic assembly obtained from the metagenome reads: SRR609293. || BioSampleModel: Microbe, viral or environmental"
132,"strain: KC1668 || host: missing || isolation_source: missing || collection_date: 20-Feb-1982 || geo_loc_name: USA: Massachusetts || sample_type: cell culture || BioSampleModel: Microbe, viral or environmental"
133,"strain: H1496 || host: Homo sapiens || isolation_source: sputum || collection_date: 18-Apr-2000 || geo_loc_name: USA: Ohio || sample_type: cell culture || BioSampleModel: Microbe, viral or environmental"
134,"strain: H5594 || host: Homo sapiens || isolation_source: blood || collection_date: missing || geo_loc_name: USA: Oklahoma || sample_type: cell culture || BioSampleModel: Microbe, viral or environmental"
135,"strain: G7591 || host: Homo sapiens || isolation_source: unknown || collection_date: 15-Jun-1992 || geo_loc_name: USA: California || sample_type: cell culture || BioSampleModel: Microbe, viral or environmental"
136,"strain: D1176 || host: Homo sapiens || isolation_source: blood || collection_date: 04-Oct-1974 || geo_loc_name: Israel || sample_type: cell culture || BioSampleModel: Microbe, viral or environmental"
137,"strain: H4358 || host: Homo sapiens || isolation_source: blood || collection_date: 12-Jun-2007 || geo_loc_name: USA: Oregon || sample_type: cell culture || BioSampleModel: Microbe, viral or environmental"
138,"strain: H2931 || host: Homo sapiens || isolation_source: blood || collection_date: 11-Feb-2004 || geo_loc_name: USA: Montana || sample_type: cell culture || BioSampleModel: Microbe, viral or environmental"
139,"strain: 7120 || host: Homo sapiens || isolation_source: blood || collection_date: missing || geo_loc_name: USA: California || sample_type: cell culture || type-material: type strain of Capnocytophaga canimorsus || BioSampleModel: Microbe, viral or environmental"
140,"strain: H4486 || host: Homo sapiens || isolation_source: blood || collection_date: 16-Oct-2007 || geo_loc_name: missing || sample_type: cell culture || BioSampleModel: Microbe, viral or environmental"
141,"strain: H6253 || host: Homo sapiens || isolation_source: Bronchial aspirate || collection_date: 13-Dec-2012 || geo_loc_name: USA: Hawaii || sample_type: cell culture || BioSampleModel: Microbe, viral or environmental"
142,"strain: H2177 || host: Homo sapiens || isolation_source: Peritoneal fluid || collection_date: missing || geo_loc_name: USA: Rhode Island || sample_type: cell culture || BioSampleModel: Microbe, viral or environmental"
143,"strain: H3936 || host: Homo sapiens || isolation_source: blood || collection_date: missing || geo_loc_name: USA: Oklahoma || sample_type: cell culture || BioSampleModel: Microbe, viral or environmental"
144,"strain: ACN2 || isolation_source: compost soil || collection_date: 2016-01-27 || geo_loc_name: Germany: Experimental Botanical Garden Goettingen || sample_type: whole organism || altitude: 180 m || depth: 0.5 m || env_biome: compost soil || lat_lon: 51.556278 N 9.954500000000053 E || temp: 6 C || env_feature: garden || env_material: soil || BioSampleModel: Microbe, viral or environmental"
145,"strain: ACN6 || isolation_source: compost soil || collection_date: 2016-01-27 || geo_loc_name: Germany: Experimental Botanical Garden Goettingen || sample_type: whole organism || altitude: 180 m || depth: 0.5 m || env_biome: compost soil || lat_lon: 51.556278 N 9.954500000000053 E || temp: 6 C || env_feature: garden || env_material: soil || BioSampleModel: Microbe, viral or environmental"
146,"strain: H6490 || host: Homo sapiens || isolation_source: Abscess || collection_date: 08-Aug-2013 || geo_loc_name: USA: Indiana || sample_type: cell culture || BioSampleModel: Microbe, viral or environmental"
147,"assembly_method: CLC de novo assembler || assembly_method_version: 4.4.1 || collection_date: not applicable || completeness_estimated: 98.39% || contamination_estimated: 0.30% || environmental_sample: true || genome_coverage: 14.25 || geo_loc_name: NULL || isolate: UBA1846 || isolation-source: Activated sludge form a lab-scale nitrification reactor || mapping_method: BWA (BWA-MEM) || mapping_method_version: 0.7.12-r1039 || metagenome_source: metagenome || metagenomic: true || quality_assessment_method: CheckM || quality_assessment_method_version: 1.0.6 || sample_type: metagenomic assembly || subsrc_note: Genome binned from sequencing reads available in SRX201528 metagenome || value: This BioSample is a metagenomic assembly obtained from the metagenome reads: SRR609198. || BioSampleModel: Microbe, viral or environmental"
148,"assembly_method: CLC de novo assembler || assembly_method_version: 4.4.1 || collection_date: not applicable || completeness_estimated: 99.65% || contamination_estimated: 0.16% || environmental_sample: true || genome_coverage: 39.39 || geo_loc_name: Australia: Brisbane, Thorneside Wastewater Treatment Plant || isolate: UBA2787 || isolation-source: activated sludge || mapping_method: BWA (BWA-MEM) || mapping_method_version: 0.7.12-r1039 || metagenome_source: EBPR bioreactor metagenome || metagenomic: true || quality_assessment_method: CheckM || quality_assessment_method_version: 1.0.6 || sample_type: metagenomic assembly || subsrc_note: Genome binned from sequencing reads available in SRX393041 metagenome || value: This BioSample is a metagenomic assembly obtained from the EBPR bioreactor metagenome reads: SRR1051195. || BioSampleModel: Microbe, viral or environmental"
149,"assembly_method: CLC de novo assembler || assembly_method_version: 4.4.1 || collection_date: not applicable || completeness_estimated: 77.87% || contamination_estimated: 0.62% || environmental_sample: true || genome_coverage: 41.86 || geo_loc_name: NULL || isolate: UBA6721 || isolation-source: freshwater || mapping_method: BWA (BWA-MEM) || mapping_method_version: 0.7.12-r1039 || metagenome_source: metagenome || metagenomic: true || quality_assessment_method: CheckM || quality_assessment_method_version: 1.0.6 || sample_type: metagenomic assembly || subsrc_note: Genome binned from sequencing reads available in SRX481087 metagenome || value: This BioSample is a metagenomic assembly obtained from the metagenome reads: SRR1182698. || BioSampleModel: Microbe, viral or environmental"
150,geo_loc_name: USA:DC || collected_by: Children's National Hospital || isolation_source: endotracheal aspirate || collection_date: 27-Apr-2015 || strain: FDAARGOS_379 || lat_lon: Not Applicable || strain_name_alias: FDAARGOS_379 || identification method: Phenotypic characterization || host_sex: male || host_disease: Trachiits/Colonization || host_age: 1Y || host: Homo sapiens || culture_collection: FDA:FDAARGOS_379 || isolate: Not Applicable || host_disease_outcome: Missing || host_health_state: Missing || host_description: Missing || host_disease_stage: Missing || Laboratory Host: Missing || Extraction Method: Missing || ref_biomaterial: Missing || passage_history: Missing || Extraction Date: Missing || sample type: Missing || Passage Date: Missing || type-material: Missing || BioSampleModel: Pathogen.cl
151,
152,
153,
154,
155,strain: DSM 27617 || collection_date: missing || isol_growth_condt: missing || ref_biomaterial: missing || feature: missing || material: missing || biome: missing || num_replicons: missing || host: not applicable || geo_loc_name: missing || lat_lon: missing || isolation_source: missing || culture-collection: DSM:27617 || type-material: type strain of Chryseobacterium geocarposphaerae || BioSampleModel: MIGS.ba
156,
157,
