,Unnamed: 0,cazymes,Orfs_anno_cazymes%,orfs,index_x,Merops orfs total,GH total,Orfs_anno_merops%,Assembly accession,Genus,Family,scaf_bp,Completeness,MAG,Origin,Assembly accession2,Nr_BGCs,index_y,Virulence orfs total,Orfs_anno_virs%,P,BGCs/genomesize,merops_perMb,virs_perMb,bgc_perMb
1966,GCA_007097145.1,151,3.61157617794786,4181,GCA_007097145.1,153,104,3.659411624013394,GCA_007097145.1,Flavobacterium,Flavobacteriaceae,4757687.0,99.65,False,Unclassified,GCA_007097145.1_merops.txt,2.0,GCA_007097145.1,349,8.34728533843578,1.006578947368421,4.2037233638951027e-07,0.03215848373379754,0.07335497269996955,0.0004203723363895103
1644,GCA_002754195.1,202,3.8192474948005297,5289,GCA_002754195.1,205,134,3.875968992248062,GCA_002754195.1,Flavobacterium,Flavobacteriaceae,6328714.0,99.65,False,Unclassified,GCA_002754195.1_merops.txt,11.0,GCA_002754195.1,424,8.016638305917944,1.0073710073710074,1.7381098276837916e-06,0.03239204678865248,0.06699623335799343,0.0017381098276837916
2482,GCA_001507425.1,193,3.850758180367119,5012,GCA_001507425.1,196,119,3.910614525139665,GCA_001507425.1,Flavobacterium,Flavobacteriaceae,5828735.0,99.29,False,Non_marine,GCA_001507425.1_merops.txt,8.0,GCA_001507425.1,444,8.85873902633679,1.0077120822622108,1.3725105018498869e-06,0.033626507295322225,0.07617433285266872,0.001372510501849887
1322,GCA_013388355.1,124,3.6643026004728134,3384,GCA_013388355.1,126,75,3.723404255319149,GCA_013388355.1,Flavobacterium,Flavobacteriaceae,3975348.0,84.5,False,Marine,GCA_013388355.1_merops.txt,4.0,GCA_013388355.1,291,8.599290780141844,1.008,1.0062012181071947e-06,0.031695338370376636,0.0732011386172984,0.0010062012181071948
1547,GCA_900105145.1,124,3.6374303314755063,3409,GCA_900105145.1,126,78,3.696098562628337,GCA_900105145.1,Polaribacter,Flavobacteriaceae,3951560.0,99.33,False,Marine,GCA_900105145.1_merops.txt,1.0,GCA_900105145.1,259,7.597535934291582,1.008,2.530646124568525e-07,0.03188614116956341,0.0655437346263248,0.0002530646124568525
2383,GCA_002401385.1,111,4.254503641241855,2609,GCA_002401385.1,113,82,4.331161364507475,GCA_002401385.1,GCA-002401385,Flavobacteriaceae,3153567.0,72.42,True,Marine,GCA_002401385.1_merops.txt,1.0,GCA_002401385.1,201,7.70410118819471,1.0089285714285714,3.1710123805836374e-07,0.0358324399005951,0.06373734884973112,0.00031710123805836374
42,GCA_002909255.1,155,3.4110915492957745,4544,GCA_002909255.1,158,87,3.4771126760563384,GCA_002909255.1,Arenibacter,Flavobacteriaceae,5431642.0,99.67,False,Unclassified,GCA_002909255.1_merops.txt,5.0,GCA_002909255.1,349,7.680457746478873,1.0095846645367412,9.205319496388016e-07,0.029088809608586133,0.06425313008478836,0.0009205319496388017
866,GCA_000468575.1,149,3.6555446516192345,4076,GCA_000468575.1,152,90,3.729146221786065,GCA_000468575.1,Cellulophaga,Flavobacteriaceae,4613605.0,99.67,False,Unclassified,GCA_000468575.1_merops.txt,3.0,GCA_000468575.1,337,8.267909715407262,1.0099667774086378,6.502507258423727e-07,0.03294603677601355,0.07304483153629321,0.0006502507258423728
1328,GCA_900142975.1,132,3.735144312393888,3534,GCA_900142975.1,135,78,3.8200339558573853,GCA_900142975.1,Salegentibacter,Flavobacteriaceae,4010099.0,99.43,False,Marine,GCA_900142975.1_merops.txt,3.0,GCA_900142975.1,300,8.488964346349745,1.0112359550561798,7.481112062320656e-07,0.03366500428044295,0.07481112062320656,0.0007481112062320656
756,GCA_900099685.1,131,3.7883169462116832,3458,GCA_900099685.1,134,72,3.8750722961249275,GCA_900099685.1,Chryseobacterium,Weeksellaceae,3935355.0,100.0,False,Non_marine,GCA_900099685.1_merops.txt,7.0,GCA_900099685.1,292,8.444187391555813,1.0113207547169811,1.7787467712569768e-06,0.0340502953354907,0.07419915102957675,0.0017787467712569768
1566,GCA_003384935.1,131,4.422687373396354,2962,GCA_003384935.1,134,83,4.523970290344362,GCA_003384935.1,Lutibacter,Flavobacteriaceae,3388514.0,98.32,False,Unclassified,GCA_003384935.1_merops.txt,1.0,GCA_003384935.1,240,8.102633355840648,1.0113207547169811,2.951146136625081e-07,0.03954535823077609,0.07082750727900194,0.0002951146136625081
1117,GCA_003426875.1,131,4.413746630727762,2968,GCA_003426875.1,134,83,4.514824797843666,GCA_003426875.1,Lutibacter,Flavobacteriaceae,3391846.0,98.32,False,Marine,GCA_003426875.1_merops.txt,1.0,GCA_003426875.1,240,8.086253369272237,1.0113207547169811,2.9482470607450927e-07,0.03950651061398425,0.07075792945788223,0.00029482470607450925
1436,GCA_002302595.1,85,3.044412607449857,2792,GCA_002302595.1,87,52,3.116045845272206,GCA_002302595.1,Capnocytophaga,Flavobacteriaceae,3098616.0,100.0,False,Non_marine,GCA_002302595.1_merops.txt,4.0,GCA_002302595.1,165,5.909742120343839,1.0116279069767442,1.2908989045431896e-06,0.028077051173814375,0.05324957981240657,0.0012908989045431897
2087,GCA_007097305.1,127,3.659942363112392,3470,GCA_007097305.1,130,80,3.7463976945244957,GCA_007097305.1,Flavobacterium,Flavobacteriaceae,4014074.0,99.29,False,Unclassified,GCA_007097305.1_merops.txt,3.0,GCA_007097305.1,285,8.213256484149856,1.0116731517509727,7.473703773273736e-07,0.032386049684186194,0.07100018584610049,0.0007473703773273736
1954,GCA_002312885.1,84,3.191489361702128,2632,GCA_002312885.1,86,52,3.2674772036474162,GCA_002312885.1,Capnocytophaga,Flavobacteriaceae,2963948.0,99.52,False,Non_marine,GCA_002312885.1_merops.txt,4.0,GCA_002312885.1,163,6.193009118541033,1.011764705882353,1.3495513416564664e-06,0.029015353845614027,0.054994217172501,0.0013495513416564664
2212,GCA_002234495.1,168,3.3707865168539324,4984,GCA_002234495.1,172,85,3.451043338683788,GCA_002234495.1,Arenibacter,Flavobacteriaceae,5857781.0,99.67,False,Marine,GCA_002234495.1_merops.txt,5.0,GCA_002234495.1,387,7.764847512038524,1.011764705882353,8.535655395788951e-07,0.029362654561513993,0.06606597276340649,0.0008535655395788952
1629,GCA_002302635.1,80,3.2401782098015386,2469,GCA_002302635.1,82,43,3.3211826650465777,GCA_002302635.1,Capnocytophaga,Flavobacteriaceae,2831350.0,100.0,False,Non_marine,GCA_002302635.1_merops.txt,1.0,GCA_002302635.1,173,7.006885378695828,1.0123456790123457,3.5318840835643776e-07,0.028961449485227893,0.06110159464566373,0.00035318840835643774
1308,GCA_001057035.1,79,3.787152444870566,2086,GCA_001057035.1,81,51,3.883029721955897,GCA_001057035.1,Capnocytophaga,Flavobacteriaceae,2516120.0,100.0,False,Non_marine,GCA_001057035.1_merops.txt,4.0,GCA_001057035.1,151,7.238734419942474,1.0125,1.5897492965359363e-06,0.032192423254852706,0.060013035944231595,0.0015897492965359363
419,GCA_011882165.1,117,3.5454545454545454,3300,GCA_011882165.1,120,61,3.6363636363636362,GCA_011882165.1,Croceivirga,Flavobacteriaceae,3766944.0,99.01,False,Unclassified,GCA_011882165.1_merops.txt,3.0,GCA_011882165.1,283,8.575757575757576,1.0126582278481013,7.964015392848952e-07,0.031856061571395804,0.07512721187254177,0.0007964015392848951
1030,GCA_001975575.1,139,4.275607505382959,3251,GCA_001975575.1,143,72,4.398646570286066,GCA_001975575.1,TPBH4,Flavobacteriaceae,3730281.0,99.67,False,Unclassified,GCA_001975575.1_merops.txt,2.0,GCA_001975575.1,273,8.397416179637036,1.0141843971631206,5.36152638366922e-07,0.03833491364323492,0.07318483513708485,0.000536152638366922
47,GCA_002379965.1,138,3.6898395721925135,3740,GCA_002379965.1,142,72,3.796791443850268,GCA_002379965.1,Euzebyella,Flavobacteriaceae,4408305.0,96.49,True,Marine,GCA_002379965.1_merops.txt,5.0,GCA_002379965.1,344,9.197860962566844,1.0142857142857142,1.1342227908459146e-06,0.03221192726002398,0.07803452801019893,0.0011342227908459146
1643,GCA_003001895.1,131,3.8450249486351633,3407,GCA_003001895.1,135,77,3.9624302905782214,GCA_003001895.1,Salegentibacter,Flavobacteriaceae,3872766.0,99.43,False,Non_marine,GCA_003001895.1_merops.txt,3.0,GCA_003001895.1,293,8.599941297329028,1.0150375939849625,7.746401409225345e-07,0.03485880634151405,0.07565652043010086,0.0007746401409225344
1671,GCA_008367235.1,154,3.679808841099164,4185,GCA_008367235.1,159,80,3.7992831541218637,GCA_008367235.1,Uncl. Flavobacteriaceae,Flavobacteriaceae,4907048.0,99.34,False,Marine,GCA_008367235.1_merops.txt,4.0,GCA_008367235.1,348,8.315412186379929,1.0159744408945688,8.151540396588743e-07,0.032402373076440255,0.07091840145032206,0.0008151540396588743
404,GCA_002302495.1,82,3.247524752475248,2525,GCA_002302495.1,85,50,3.3663366336633667,GCA_002302495.1,Capnocytophaga,Flavobacteriaceae,2855148.0,99.52,False,Non_marine,GCA_002302495.1_merops.txt,4.0,GCA_002302495.1,170,6.732673267326733,1.0179640718562875,1.4009781629533741e-06,0.0297707859627592,0.0595415719255184,0.001400978162953374
1891,GCA_000173675.1,81,2.9988893002591634,2701,GCA_000173675.1,84,48,3.109959274342836,GCA_000173675.1,Capnocytophaga,Flavobacteriaceae,2997845.0,99.52,False,Non_marine,GCA_000173675.1_merops.txt,4.0,GCA_000173675.1,170,6.293965198074787,1.018181818181818,1.334291799609386e-06,0.02802012779179711,0.05670740148339891,0.0013342917996093861
497,GCA_008367275.1,154,3.6014967259120665,4276,GCA_008367275.1,160,81,3.7418147801683816,GCA_008367275.1,Uncl. Flavobacteriaceae,Flavobacteriaceae,4979987.0,99.34,False,Marine,GCA_008367275.1_merops.txt,4.0,GCA_008367275.1,355,8.302151543498598,1.019108280254777,8.032149481514711e-07,0.03212859792605884,0.07128532664844306,0.0008032149481514711
2155,GCA_003148525.1,178,3.5422885572139298,5025,GCA_003148525.1,185,110,3.681592039800995,GCA_003148525.1,Flavobacterium,Flavobacteriaceae,6014126.0,99.65,False,Unclassified,GCA_003148525.1_merops.txt,10.0,GCA_003148525.1,443,8.81592039800995,1.019283746556474,1.6627519942216043e-06,0.030760911893099676,0.07365991334401707,0.0016627519942216042
1498,GCA_002222055.1,177,3.591720779220779,4928,GCA_002222055.1,184,109,3.7337662337662336,GCA_002222055.1,Flavobacterium,Flavobacteriaceae,5896739.0,99.65,False,Non_marine,GCA_002222055.1_merops.txt,7.0,GCA_002222055.1,442,8.969155844155845,1.0193905817174516,1.1870968004519108e-06,0.03120368732616451,0.07495668368567779,0.0011870968004519108
1465,GCA_000468615.2,146,3.6803629947063268,3967,GCA_000468615.2,152,87,3.831610789009327,GCA_000468615.2,Cellulophaga,Flavobacteriaceae,4635105.0,99.67,False,Unclassified,GCA_000468615.2_merops.txt,3.0,GCA_000468615.2,341,8.59591630955382,1.0201342281879195,6.472345286676354e-07,0.03279321611916019,0.07356899142522122,0.0006472345286676354
807,GCA_003259375.1,158,3.6130802652641214,4373,GCA_003259375.1,165,88,3.7731534415732906,GCA_003259375.1,Arenibacter,Flavobacteriaceae,5193588.0,99.67,False,Unclassified,GCA_003259375.1_merops.txt,5.0,GCA_003259375.1,363,8.300937571461239,1.021671826625387,9.627255762297663e-07,0.031769944015582294,0.06989387683428104,0.0009627255762297663
1747,GCA_007097265.1,126,3.62589928057554,3475,GCA_007097265.1,132,79,3.798561151079137,GCA_007097265.1,Flavobacterium,Flavobacteriaceae,4022612.0,99.29,False,Unclassified,GCA_007097265.1_merops.txt,3.0,GCA_007097265.1,283,8.143884892086332,1.0232558139534884,7.457840825811687e-07,0.03281449963357142,0.07035229845682359,0.0007457840825811687
1850,GCA_900101815.1,145,3.4847392453737083,4161,GCA_900101815.1,152,73,3.65296803652968,GCA_900101815.1,Pricia,Flavobacteriaceae,4851997.0,98.9,False,Marine,GCA_900101815.1_merops.txt,5.0,GCA_900101815.1,347,8.339341504446047,1.0235690235690236,1.0305035225701912e-06,0.031327307086133814,0.07151694446637126,0.0010305035225701912
136,GCA_002302395.1,82,2.9645697758496024,2766,GCA_002302395.1,86,49,3.109182935647144,GCA_002302395.1,Capnocytophaga,Flavobacteriaceae,3074746.0,99.52,False,Unclassified,GCA_002302395.1_merops.txt,4.0,GCA_002302395.1,172,6.218365871294288,1.0238095238095237,1.3009204662759136e-06,0.02796979002493214,0.05593958004986428,0.0013009204662759136
858,GCA_002320855.1,143,3.6047390975548272,3967,GCA_002320855.1,150,73,3.781194857574994,GCA_002320855.1,Euzebyella,Flavobacteriaceae,4580477.0,98.89,True,Marine,GCA_002320855.1_merops.txt,5.0,GCA_002320855.1,358,9.024451726745651,1.023890784982935,1.0915893694041035e-06,0.0327476810821231,0.07815779884933381,0.0010915893694041035
1636,GCA_009684755.1,81,3.187721369539551,2541,GCA_009684755.1,85,48,3.345139708776072,GCA_009684755.1,Capnocytophaga,Flavobacteriaceae,2882901.0,100.0,False,Non_marine,GCA_009684755.1_merops.txt,1.0,GCA_009684755.1,179,7.0444706808343165,1.0240963855421688,3.4687282012112105e-07,0.02948418971029529,0.062090234801680674,0.00034687282012112105
2501,GCA_003335085.1,100,3.7965072133637054,2634,GCA_003335085.1,105,45,3.986332574031891,GCA_003335085.1,Polaribacter,Flavobacteriaceae,2977909.0,98.99,False,Marine,GCA_003335085.1_merops.txt,3.0,GCA_003335085.1,214,8.124525436598331,1.024390243902439,1.0074182924998716e-06,0.035259640237495504,0.07186250486499084,0.0010074182924998715
513,GCA_002806995.1,117,3.9274924471299086,2979,GCA_002806995.1,123,53,4.128902316213495,GCA_002806995.1,Confluentibacter,Flavobacteriaceae,3348614.0,98.68,False,Marine,GCA_002806995.1_merops.txt,1.0,GCA_002806995.1,245,8.22423632091306,1.025,2.98631015697838e-07,0.036731614930834065,0.0731645988459703,0.000298631015697838
1510,GCA_002693185.1,115,3.9302802460697204,2926,GCA_002693185.1,121,70,4.135338345864661,GCA_002693185.1,Gramella,Flavobacteriaceae,3289833.0,88.51,True,Marine,GCA_002693185.1_merops.txt,2.0,GCA_002693185.1,227,7.758031442241968,1.0254237288135593,6.079335941976387e-07,0.03677998244895714,0.06900046294143199,0.0006079335941976386
1076,GCA_012272855.1,129,3.457518091664433,3731,GCA_012272855.1,136,79,3.6451353524524257,GCA_012272855.1,Arenibacter,Flavobacteriaceae,4666733.0,99.67,False,Unclassified,GCA_012272855.1_merops.txt,3.0,GCA_012272855.1,290,7.772715089788261,1.0264150943396226,6.428480052319256e-07,0.029142442903847293,0.06214197383908614,0.0006428480052319257
344,GCA_003143755.1,110,3.735144312393888,2945,GCA_003143755.1,116,47,3.9388794567062817,GCA_003143755.1,Algibacter_B,Flavobacteriaceae,3339969.0,99.67,False,Unclassified,GCA_003143755.1_merops.txt,2.0,GCA_003143755.1,249,8.455008488964348,1.0265486725663717,5.988079530079471e-07,0.03473086127446093,0.07455159014948942,0.0005988079530079471
352,GCA_007097345.1,125,3.600230414746544,3472,GCA_007097345.1,132,78,3.8018433179723505,GCA_007097345.1,Flavobacterium,Flavobacteriaceae,4022761.0,99.29,False,Unclassified,GCA_007097345.1_merops.txt,3.0,GCA_007097345.1,283,8.150921658986174,1.027237354085603,7.457564593074259e-07,0.03281328420952674,0.07034969266133385,0.0007457564593074258
1079,GCA_000300875.1,120,3.8338658146964857,3130,GCA_000300875.1,127,78,4.057507987220448,GCA_000300875.1,Galbibacter,Flavobacteriaceae,3572447.0,99.65,False,Marine,GCA_000300875.1_merops.txt,2.0,GCA_000300875.1,253,8.083067092651758,1.0283400809716599,5.598403559241047e-07,0.03554986260118064,0.07081980502439925,0.0005598403559241047
1398,GCA_009684775.1,80,3.0337504740235115,2637,GCA_009684775.1,85,47,3.223359878649981,GCA_009684775.1,Capnocytophaga,Flavobacteriaceae,2959960.0,100.0,False,Non_marine,GCA_009684775.1_merops.txt,1.0,GCA_009684775.1,180,6.825938566552901,1.0303030303030303,3.3784240327571997e-07,0.028716604278436197,0.060811632589629586,0.00033784240327572
1725,GCA_002401105.1,86,3.731019522776573,2305,GCA_002401105.1,92,62,3.9913232104121477,GCA_002401105.1,GCA-002401385,Flavobacteriaceae,2723491.0,63.32,True,Marine,GCA_002401105.1_merops.txt,1.0,GCA_002401105.1,160,6.941431670281996,1.0337078651685394,3.6717580487690246e-07,0.033780174048675025,0.058748128780304394,0.00036717580487690245
1618,GCA_002302475.1,85,3.708551483420593,2292,GCA_002302475.1,91,48,3.9703315881326353,GCA_002302475.1,Capnocytophaga,Flavobacteriaceae,2640475.0,100.0,False,Non_marine,GCA_002302475.1_merops.txt,1.0,GCA_002302475.1,164,7.155322862129145,1.0340909090909092,3.7871973792594136e-07,0.03446349615126067,0.06211003701985439,0.00037871973792594134
2198,GCA_012964435.1,98,3.5623409669211195,2751,GCA_012964435.1,105,45,3.816793893129771,GCA_012964435.1,Mesonia,Flavobacteriaceae,3048268.0,97.64,True,Marine,GCA_012964435.1_merops.txt,4.0,GCA_012964435.1,222,8.069792802617231,1.0344827586206897,1.3122205790304527e-06,0.03444579019954938,0.07282824213619013,0.0013122205790304527
1721,GCA_003285545.1,140,3.769520732364028,3714,GCA_003285545.1,150,95,4.038772213247173,GCA_003285545.1,Sinomicrobium,Flavobacteriaceae,4611183.0,98.35,False,Non_marine,GCA_003285545.1_merops.txt,1.0,GCA_003285545.1,328,8.831448572967151,1.0344827586206897,2.1686408888998766e-07,0.03252961333349815,0.07113142115591595,0.00021686408888998767
797,GCA_900446695.1,83,3.0269876002917577,2742,GCA_900446695.1,89,49,3.2458059810357405,GCA_900446695.1,Capnocytophaga,Flavobacteriaceae,3053418.0,99.52,False,Non_marine,GCA_900446695.1_merops.txt,4.0,GCA_900446695.1,173,6.309263311451494,1.0348837209302326,1.3100073425911552e-06,0.029147663372653204,0.05665781756706746,0.0013100073425911553
1480,GCA_003687485.1,138,3.400689995071464,4058,GCA_003687485.1,148,70,3.6471168063085266,GCA_003687485.1,Euzebyella,Flavobacteriaceae,4707469.0,99.65,False,Marine,GCA_003687485.1_merops.txt,6.0,GCA_003687485.1,370,9.117792015771316,1.034965034965035,1.2745702627038011e-06,0.03143939981336043,0.07859849953340108,0.001274570262703801
1304,GCA_002690085.1,41,3.1155015197568385,1316,GCA_002690085.1,44,25,3.343465045592705,GCA_002690085.1,UBA3537,Flavobacteriaceae,1524909.0,68.64,True,Marine,GCA_002690085.1_merops.txt,1.0,GCA_002690085.1,69,5.243161094224924,1.035294117647059,6.557768365194251e-07,0.0288541808068547,0.04524860171984033,0.0006557768365194252
454,GCA_902506345.1,122,3.907751441383728,3122,GCA_902506345.1,131,73,4.196028187059577,GCA_902506345.1,Flavobacterium,Flavobacteriaceae,3580589.0,99.65,False,Marine,GCA_902506345.1_merops.txt,4.0,GCA_902506345.1,244,7.815502882767457,1.0355731225296443,1.1171346390216805e-06,0.036586159427960036,0.06814521298032251,0.0011171346390216805
1532,GCA_001640115.1,121,3.4880368982415684,3469,GCA_001640115.1,130,74,3.7474776592678003,GCA_001640115.1,Polaribacter,Flavobacteriaceae,3942702.0,99.66,False,Unclassified,GCA_001640115.1_merops.txt,1.0,GCA_001640115.1,243,7.0049005477082735,1.0358565737051793,2.5363316831959403e-07,0.03297231188154722,0.06163285990166135,0.000253633168319594
158,GCA_000218485.2,117,3.2809871003925966,3566,GCA_000218485.2,126,73,3.5333707234997194,GCA_000218485.2,Aquimarina,Flavobacteriaceae,4073879.0,99.62,False,Unclassified,GCA_000218485.2_merops.txt,4.0,GCA_000218485.2,265,7.431295569265284,1.037037037037037,9.818651953089427e-07,0.030928753652231692,0.06504856918921745,0.0009818651953089428
183,GCA_000429545.1,142,3.4608822812576165,4103,GCA_000429545.1,153,84,3.728978796002925,GCA_000429545.1,Arenibacter,Flavobacteriaceae,4989751.0,99.67,False,Marine,GCA_000429545.1_merops.txt,5.0,GCA_000429545.1,311,7.579819644162808,1.0372881355932204,1.0020540103103342e-06,0.030662852715496222,0.06232775944130279,0.0010020540103103342
2371,GCA_900141935.1,116,3.262092238470191,3556,GCA_900141935.1,125,66,3.515185601799775,GCA_900141935.1,Arenibacter,Flavobacteriaceae,4362450.0,99.67,False,Non_marine,GCA_900141935.1_merops.txt,3.0,GCA_900141935.1,282,7.930258717660292,1.037344398340249,6.876869648935804e-07,0.02865362353723252,0.06464257469999656,0.0006876869648935804
2502,GCA_003403075.1,139,3.2930585169391136,4221,GCA_003403075.1,150,101,3.553660270078181,GCA_003403075.1,Flavobacterium,Flavobacteriaceae,4843008.0,99.47,False,Non_marine,GCA_003403075.1_merops.txt,3.0,GCA_003403075.1,341,8.078654347311064,1.0380622837370241,6.194497304154773e-07,0.030972486520773865,0.07041078602389259,0.0006194497304154773
2062,GCA_009649685.1,138,3.645007923930269,3786,GCA_009649685.1,149,58,3.9355520338087695,GCA_009649685.1,SZUA-72,Flavobacteriaceae,4449445.0,99.01,False,Unclassified,GCA_009649685.1_merops.txt,7.0,GCA_009649685.1,354,9.350237717908081,1.038327526132404,1.5732299196866126e-06,0.033487322576186467,0.07956048450986584,0.0015732299196866127
1281,GCA_013404005.1,148,3.5568372987262675,4161,GCA_013404005.1,160,70,3.8452295121365054,GCA_013404005.1,Winogradskyella,Flavobacteriaceae,4782742.0,99.67,False,Unclassified,GCA_013404005.1_merops.txt,4.0,GCA_013404005.1,301,7.233838019706801,1.0389610389610389,8.363403252778427e-07,0.03345361301111371,0.06293460947715766,0.0008363403252778427
570,GCA_002364385.1,108,3.375,3200,GCA_002364385.1,117,43,3.65625,GCA_002364385.1,Mesonia,Flavobacteriaceae,3602425.0,96.03,True,Marine,GCA_002364385.1_merops.txt,3.0,GCA_002364385.1,254,7.9375,1.04,8.327723686128094e-07,0.03247812237589957,0.0705080605425512,0.0008327723686128094
177,GCA_000186265.1,132,3.0841121495327095,4280,GCA_000186265.1,143,69,3.3411214953271027,GCA_000186265.1,Cellulophaga,Flavobacteriaceae,4888353.0,99.67,False,Marine,GCA_000186265.1_merops.txt,4.0,GCA_000186265.1,342,7.990654205607477,1.04,8.182715118977701e-07,0.02925320655034528,0.06996221426725933,0.00081827151189777
84,GCA_000769935.1,139,3.4337944664031625,4048,GCA_000769935.1,151,93,3.7302371541501977,GCA_000769935.1,Flavobacterium,Flavobacteriaceae,4637174.0,99.65,False,Non_marine,GCA_000769935.1_merops.txt,4.0,GCA_000769935.1,314,7.756916996047431,1.0413793103448277,8.625943300812089e-07,0.03256293596056564,0.0677136549113749,0.000862594330081209
2012,GCA_000422725.1,139,3.4270216962524658,4056,GCA_000422725.1,151,93,3.7228796844181464,GCA_000422725.1,Flavobacterium,Flavobacteriaceae,4638566.0,99.65,False,Non_marine,GCA_000422725.1_merops.txt,4.0,GCA_000422725.1,316,7.790927021696252,1.0413793103448277,8.623354717815808e-07,0.03255316405975467,0.06812450227074487,0.0008623354717815808
509,GCA_000827735.1,81,3.4585824081981213,2342,GCA_000827735.1,88,48,3.7574722459436374,GCA_000827735.1,Capnocytophaga,Flavobacteriaceae,2698218.0,100.0,False,Unclassified,GCA_000827735.1_merops.txt,1.0,GCA_000827735.1,157,6.703672075149444,1.0414201183431953,3.7061497625469847e-07,0.032614117910413465,0.058186551271987665,0.00037061497625469846
1800,GCA_002453075.1,103,2.984642132715155,3451,GCA_002453075.1,112,41,3.2454361054766734,GCA_002453075.1,Mesonia,Flavobacteriaceae,3791507.0,93.92,True,Marine,GCA_002453075.1_merops.txt,4.0,GCA_002453075.1,274,7.939727615184005,1.041860465116279,1.0549894804361432e-06,0.02953970545221201,0.0722667794098758,0.0010549894804361432
255,GCA_000379185.1,80,3.48280365694384,2297,GCA_000379185.1,87,48,3.7875489769264257,GCA_000379185.1,Capnocytophaga,Flavobacteriaceae,2657104.0,100.0,False,Non_marine,GCA_000379185.1_merops.txt,1.0,GCA_000379185.1,156,6.791467131040488,1.0419161676646707,3.763495896284075e-07,0.032742414297671454,0.05871053598203156,0.0003763495896284075
126,GCA_000827655.1,80,3.4873583260680032,2294,GCA_000827655.1,87,48,3.792502179598954,GCA_000827655.1,Capnocytophaga,Flavobacteriaceae,2667569.0,100.0,False,Unclassified,GCA_000827655.1_merops.txt,1.0,GCA_000827655.1,155,6.756756756756757,1.0419161676646707,3.748731522970915e-07,0.03261396424984696,0.058105338606049176,0.00037487315229709146
761,GCA_000271925.1,80,3.6866359447004617,2170,GCA_000271925.1,87,50,4.009216589861751,GCA_000271925.1,Capnocytophaga,Flavobacteriaceae,2590781.0,100.0,False,Non_marine,GCA_000271925.1_merops.txt,4.0,GCA_000271925.1,158,7.281105990783409,1.0419161676646707,1.5439359791506886e-06,0.033580607546527474,0.0609854711764522,0.0015439359791506884
1675,GCA_013394635.1,147,3.4966698382492862,4204,GCA_013394635.1,160,70,3.8058991436726926,GCA_013394635.1,Winogradskyella,Flavobacteriaceae,4810040.0,99.67,False,Unclassified,GCA_013394635.1_merops.txt,4.0,GCA_013394635.1,302,7.183634633682208,1.0423452768729642,8.315939160589102e-07,0.0332637566423564,0.06278534066244772,0.0008315939160589102
961,GCA_013249065.1,123,3.632604843473125,3386,GCA_013249065.1,134,53,3.9574719432959244,GCA_013249065.1,Winogradskyella,Flavobacteriaceae,3888081.0,99.34,False,Unclassified,GCA_013249065.1_merops.txt,1.0,GCA_013249065.1,275,8.121677495569994,1.0428015564202335,2.5719628783453845e-07,0.034464302569828145,0.07072897915449808,0.00025719628783453844
2152,GCA_013333705.2,67,3.343313373253493,2004,GCA_013333705.2,73,37,3.642714570858283,GCA_013333705.2,Capnocytophaga,Flavobacteriaceae,2251100.0,93.65,True,Unclassified,GCA_013333705.2_merops.txt,3.0,GCA_013333705.2,147,7.335329341317365,1.042857142857143,1.3326818000088845e-06,0.03242859046688285,0.06530140820043534,0.0013326818000088845
1710,GCA_002363855.1,135,3.2312111057922452,4178,GCA_002363855.1,148,68,3.5423647678314985,GCA_002363855.1,Arenibacter,Flavobacteriaceae,4912193.0,96.57,True,Marine,GCA_002363855.1_merops.txt,5.0,GCA_002363855.1,321,7.683101962661561,1.0459363957597174,1.0178753155667948e-06,0.030129109340777123,0.06534759525938821,0.0010178753155667948
2159,GCA_003545615.1,93,3.6744369814302646,2531,GCA_003545615.1,102,67,4.030027657052548,GCA_003545615.1,Leeuwenhoekiella,Flavobacteriaceae,3022686.0,72.88,True,Marine,GCA_003545615.1_merops.txt,3.0,GCA_003545615.1,181,7.151323587514816,1.0461538461538462,9.924947546652216e-07,0.03374482165861754,0.0598805168648017,0.0009924947546652216
1003,GCA_002716005.1,112,3.4696406443618337,3228,GCA_002716005.1,123,78,3.8104089219330852,GCA_002716005.1,Leeuwenhoekiella,Flavobacteriaceae,3674042.0,91.51,True,Marine,GCA_002716005.1_merops.txt,4.0,GCA_002716005.1,231,7.156133828996282,1.0468085106382978,1.0887191817622118e-06,0.033478114839188014,0.06287353274676773,0.0010887191817622118
1452,GCA_008806775.1,96,3.35195530726257,2864,GCA_008806775.1,106,42,3.7011173184357546,GCA_008806775.1,Flavobacterium,Flavobacteriaceae,3413843.0,98.94,False,Unclassified,GCA_008806775.1_merops.txt,3.0,GCA_008806775.1,248,8.659217877094973,1.0495049504950495,8.787750344699507e-07,0.03105005121793826,0.07264540284951593,0.0008787750344699507
1608,GCA_900168045.1,113,3.654592496765848,3092,GCA_900168045.1,125,51,4.042690815006468,GCA_900168045.1,Salegentibacter,Flavobacteriaceae,3591995.0,99.43,False,Unclassified,GCA_900168045.1_merops.txt,3.0,GCA_900168045.1,275,8.89391979301423,1.050420168067227,8.351904721470938e-07,0.03479960300612891,0.0765591266134836,0.0008351904721470938
