Genome,BGC_full,Similarity2
GCA_002399805.1,GCA_002399805.1_contig164.region001,0.25
GCA_014218905.1,GCA_014218905.1_contig27.region001,0.25
GCA_000333355.1,GCA_000333355.1_contig539.region001,0.25
GCA_000737775.1,GCA_000737775.1_contig14.region001,0.25
GCA_002835665.1,GCA_002835665.1_contig73.region001,0.25
GCA_902168265.1,GCA_902168265.1_contig167.region001,0.25
GCA_000482305.1,GCA_000482305.1_contig08.region001,0.25
GCA_000423405.1,GCA_000423405.1_contig01.region001,0.25
GCA_008692195.1,GCA_008692195.1_contig23.region001,0.25
GCA_012964435.1,GCA_012964435.1_contig86.region001,0.25
GCA_002433505.1,GCA_002433505.1_contig177.region001,0.25
GCA_001642835.1,GCA_001642835.1_contig01.region002,0.25
GCA_001672305.1,GCA_001672305.1_contig01.region001,0.25
GCA_002893765.1,GCA_002893765.1_contig1.region001,0.25
GCA_008806375.1,GCA_008806375.1_contig31.region001,0.25
GCA_003633785.1,GCA_003633785.1_contig2.region001,0.25
GCA_004339525.1,GCA_004339525.1_contig1.region006,0.25
GCA_001507325.1,GCA_001507325.1_contig02.region001,0.25
GCA_000520975.1,GCA_000520975.1_contig039.region001,0.26
GCA_000243235.1,GCA_000243235.1_contig2.region002,0.27
GCA_000423045.1,GCA_000423045.1_contig3.region002,0.27
GCA_002413625.1,GCA_002413625.1_contig08.region002,0.27
GCA_002453075.1,GCA_002453075.1_contig55.region002,0.27
GCA_002695545.1,GCA_002695545.1_contig35.region001,0.27
GCA_002696985.1,GCA_002696985.1_contig23.region001,0.27
GCA_002719535.1,GCA_002719535.1_contig13.region001,0.27
GCA_902499555.1,GCA_902499555.1_contig02.region001,0.27
GCA_002429185.1,GCA_002429185.1_contig174.region001,0.27
GCA_002337605.1,GCA_002337605.1_contig14.region001,0.27
GCA_013214625.1,GCA_013214625.1_contig011.region001,0.27
GCA_003506685.1,GCA_003506685.1_contig061.region001,0.27
GCA_003511845.1,GCA_003511845.1_contig068.region001,0.27
GCA_003667275.1,GCA_003667275.1_contig11.region001,0.27
GCA_003507715.1,GCA_003507715.1_contig285.region001,0.27
GCA_009360815.1,GCA_009360815.1_contig270.region001,0.27
GCA_002291725.1,GCA_002291725.1_contig010.region001,0.28
GCA_002320855.1,GCA_002320855.1_contig03.region001,0.28
GCA_002323395.1,GCA_002323395.1_contig104.region001,0.28
GCA_002379965.1,GCA_002379965.1_contig043.region001,0.28
GCA_002452945.1,GCA_002452945.1_contig065.region001,0.28
GCA_002700185.1,GCA_002700185.1_contig4.region001,0.28
GCA_002715605.1,GCA_002715605.1_contig23.region001,0.28
GCA_002715605.1,GCA_002715605.1_contig24.region001,0.28
GCA_003687485.1,GCA_003687485.1_contig1.region004,0.28
GCA_004959765.1,GCA_004959765.1_contig23.region001,0.28
GCA_000520835.1,GCA_000520835.1_contig27.region002,0.28
GCA_002421065.1,GCA_002421065.1_contig27.region002,0.28
GCA_002472905.1,GCA_002472905.1_contig23.region001,0.28
GCA_003812865.1,GCA_003812865.1_contig1.region004,0.28
GCA_003815935.1,GCA_003815935.1_contig1.region004,0.28
GCA_014218815.1,GCA_014218815.1_contig11.region003,0.28
GCA_014219895.1,GCA_014219895.1_contig11.region003,0.28
GCA_014219965.1,GCA_014219965.1_contig11.region002,0.28
GCA_014219975.1,GCA_014219975.1_contig11.region003,0.28
GCA_014219985.1,GCA_014219985.1_contig11.region002,0.28
GCA_014220005.1,GCA_014220005.1_contig11.region002,0.28
GCA_014220055.1,GCA_014220055.1_contig11.region003,0.28
GCA_014220065.1,GCA_014220065.1_contig11.region002,0.28
GCA_014220105.1,GCA_014220105.1_contig11.region002,0.28
GCA_014220115.1,GCA_014220115.1_contig11.region003,0.28
GCA_014220145.1,GCA_014220145.1_contig11.region002,0.28
GCA_014220155.1,GCA_014220155.1_contig11.region003,0.28
GCA_014220165.1,GCA_014220165.1_contig11.region003,0.28
GCA_014220185.1,GCA_014220185.1_contig11.region003,0.28
GCA_014220225.1,GCA_014220225.1_contig11.region003,0.28
GCA_014220245.1,GCA_014220245.1_contig11.region002,0.28
GCA_014220265.1,GCA_014220265.1_contig11.region002,0.28
GCA_014220275.1,GCA_014220275.1_contig11.region003,0.28
GCA_014220285.1,GCA_014220285.1_contig11.region003,0.28
GCA_014220295.1,GCA_014220295.1_contig11.region003,0.28
GCA_014220345.1,GCA_014220345.1_contig11.region003,0.28
GCA_014220365.1,GCA_014220365.1_contig11.region003,0.28
GCA_014220375.1,GCA_014220375.1_contig11.region003,0.28
GCA_014220395.1,GCA_014220395.1_contig11.region002,0.28
GCA_014220405.1,GCA_014220405.1_contig11.region003,0.28
GCA_014220445.1,GCA_014220445.1_contig11.region003,0.28
GCA_014220465.1,GCA_014220465.1_contig11.region001,0.28
GCA_014220475.1,GCA_014220475.1_contig046.region002,0.28
GCA_014220505.1,GCA_014220505.1_contig11.region003,0.28
GCA_014220515.1,GCA_014220515.1_contig11.region003,0.28
GCA_014220525.1,GCA_014220525.1_contig11.region002,0.28
GCA_014220565.1,GCA_014220565.1_contig11.region003,0.28
GCA_014220575.1,GCA_014220575.1_contig11.region003,0.28
GCA_014220605.1,GCA_014220605.1_contig11.region002,0.28
GCA_014220615.1,GCA_014220615.1_contig11.region003,0.28
GCA_014220655.1,GCA_014220655.1_contig111.region002,0.28
GCA_900113975.1,GCA_900113975.1_contig05.region002,0.28
GCA_900460995.1,GCA_900460995.1_contig1.region005,0.28
GCA_004959765.1,GCA_004959765.1_contig23.region001,0.28
GCA_000755305.1,GCA_000755305.1_contig17.region001,0.28
GCA_001430865.1,GCA_001430865.1_contig1.region003,0.28
GCA_002117085.1,GCA_002117085.1_contig1.region002,0.28
GCA_002954355.1,GCA_002954355.1_contig16.region002,0.28
GCA_003254015.1,GCA_003254015.1_contig03.region001,0.28
GCA_011784885.1,GCA_011784885.1_contig1.region002,0.28
GCA_012974865.1,GCA_012974865.1_contig1.region001,0.28
GCA_000153385.1,GCA_000153385.1_contig2.region002,0.28
GCA_000332115.1,GCA_000332115.1_contig1.region002,0.28
GCA_000732625.1,GCA_000732625.1_contig12.region001,0.28
GCA_000747685.1,GCA_000747685.1_contig41.region001,0.28
GCA_000755265.1,GCA_000755265.1_contig35.region001,0.28
GCA_000755285.1,GCA_000755285.1_contig19.region001,0.28
GCA_000755325.1,GCA_000755325.1_contig19.region001,0.28
GCA_000764815.1,GCA_000764815.1_contig44.region001,0.28
GCA_002162835.1,GCA_002162835.1_contig093.region001,0.28
GCA_002831625.1,GCA_002831625.1_contig1.region001,0.28
GCA_002954765.1,GCA_002954765.1_contig1.region001,0.28
GCA_003001855.1,GCA_003001855.1_contig07.region001,0.28
GCA_002452975.1,GCA_002452975.1_contig117.region001,0.28
GCA_003058265.1,GCA_003058265.1_contig07.region001,0.28
GCA_003973595.1,GCA_003973595.1_contig134.region001,0.28
GCA_003992595.1,GCA_003992595.1_contig47.region001,0.28
GCA_007785775.2,GCA_007785775.2_contig05.region001,0.28
GCA_010468565.1,GCA_010468565.1_contig05.region001,0.28
GCA_013407935.1,GCA_013407935.1_contig04.region001,0.28
GCA_900112295.1,GCA_900112295.1_contig06.region001,0.28
GCA_900142405.1,GCA_900142405.1_contig11.region001,0.28
GCA_000331815.1,GCA_000331815.1_contig51.region001,0.28
GCA_000495935.2,GCA_000495935.2_contig1.region003,0.28
GCA_000495955.1,GCA_000495955.1_contig03.region001,0.28
GCA_000495975.1,GCA_000495975.1_contig10.region001,0.28
GCA_000495995.1,GCA_000495995.1_contig03.region001,0.28
GCA_000496015.1,GCA_000496015.1_contig16.region001,0.28
GCA_000496055.1,GCA_000496055.1_contig06.region001,0.28
GCA_000689455.1,GCA_000689455.1_contig101.region001,0.28
GCA_000689515.1,GCA_000689515.1_contig78.region001,0.28
GCA_000982575.1,GCA_000982575.1_contig23.region001,0.28
GCA_001482795.1,GCA_001482795.1_contig21.region001,0.28
GCA_001521815.1,GCA_001521815.1_contig11.region001,0.28
GCA_001596175.2,GCA_001596175.2_contig1.region002,0.28
GCA_001618465.2,GCA_001618465.2_contig1.region002,0.28
GCA_001618505.2,GCA_001618505.2_contig1.region002,0.28
GCA_001618545.2,GCA_001618545.2_contig1.region002,0.28
GCA_002022025.1,GCA_002022025.1_contig1.region003,0.28
GCA_002022045.1,GCA_002022045.1_contig1.region002,0.28
GCA_002022065.1,GCA_002022065.1_contig1.region001,0.28
GCA_002023105.1,GCA_002023105.1_contig16.region001,0.28
GCA_002023135.1,GCA_002023135.1_contig018.region001,0.28
GCA_002023145.1,GCA_002023145.1_contig12.region001,0.28
GCA_002023175.1,GCA_002023175.1_contig4.region001,0.28
GCA_002023235.2,GCA_002023235.2_contig1.region002,0.28
GCA_002023325.1,GCA_002023325.1_contig16.region001,0.28
GCA_002023425.1,GCA_002023425.1_contig19.region001,0.28
GCA_002023645.1,GCA_002023645.1_contig18.region001,0.28
GCA_002023665.2,GCA_002023665.2_contig1.region002,0.28
GCA_002023705.1,GCA_002023705.1_contig23.region001,0.28
GCA_002024825.1,GCA_002024825.1_contig1.region002,0.28
GCA_002277995.2,GCA_002277995.2_contig1.region002,0.28
GCA_002310515.1,GCA_002310515.1_contig1.region002,0.28
GCA_002310535.1,GCA_002310535.1_contig1.region002,0.28
GCA_002888615.1,GCA_002888615.1_contig38.region001,0.28
GCA_003293825.1,GCA_003293825.1_contig05.region001,0.28
GCA_003293835.1,GCA_003293835.1_contig05.region001,0.28
GCA_008244555.1,GCA_008244555.1_contig22.region001,0.28
GCA_009764235.1,GCA_009764235.1_contig12.region001,0.28
GCA_009865665.1,GCA_009865665.1_contig41.region001,0.28
GCA_009865685.1,GCA_009865685.1_contig08.region001,0.28
GCA_014220675.1,GCA_014220675.1_contig22.region001,0.28
GCA_014220725.1,GCA_014220725.1_contig31.region001,0.28
GCA_014220735.1,GCA_014220735.1_contig11.region001,0.28
GCA_014220885.1,GCA_014220885.1_contig29.region001,0.28
GCA_014220925.1,GCA_014220925.1_contig22.region001,0.28
GCA_900092065.1,GCA_900092065.1_contig45.region001,0.28
GCA_900156985.1,GCA_900156985.1_contig15.region001,0.28
GCA_900156995.1,GCA_900156995.1_contig30.region001,0.28
GCA_000735205.1,GCA_000735205.1_contig33.region001,0.28
GCA_001011675.1,GCA_001011675.1_contig1.region002,0.28
GCA_001703835.1,GCA_001703835.1_contig01.region001,0.28
GCA_002951395.1,GCA_002951395.1_contig1.region001,0.28
GCA_002951455.1,GCA_002951455.1_contig1.region001,0.28
GCA_009810215.1,GCA_009810215.1_contig1.region002,0.28
GCA_009865615.1,GCA_009865615.1_contig10.region001,0.28
GCA_014219685.1,GCA_014219685.1_contig11.region001,0.28
GCA_014219745.1,GCA_014219745.1_contig11.region001,0.28
GCA_014219775.1,GCA_014219775.1_contig11.region001,0.28
GCA_014219815.1,GCA_014219815.1_contig11.region001,0.28
GCA_000240095.3,GCA_000240095.3_contig1.region002,0.28
GCA_000447375.1,GCA_000447375.1_contig21.region001,0.28
GCA_000773465.1,GCA_000773465.1_contig018.region001,0.28
GCA_001050935.1,GCA_001050935.1_contig26.region001,0.28
GCA_001051975.1,GCA_001051975.1_contig01.region001,0.28
GCA_001483145.1,GCA_001483145.1_contig10.region001,0.28
GCA_001521765.1,GCA_001521765.1_contig22.region001,0.28
GCA_001867305.1,GCA_001867305.1_contig43.region001,0.28
GCA_002022125.1,GCA_002022125.1_contig1.region003,0.28
GCA_002023065.1,GCA_002023065.1_contig16.region001,0.28
GCA_002023365.1,GCA_002023365.1_contig14.region001,0.28
GCA_002023405.1,GCA_002023405.1_contig07.region001,0.28
GCA_002023515.1,GCA_002023515.1_contig10.region001,0.28
GCA_002023565.1,GCA_002023565.1_contig13.region001,0.28
GCA_002023625.1,GCA_002023625.1_contig18.region001,0.28
GCA_002023695.1,GCA_002023695.1_contig26.region001,0.28
GCA_009697265.1,GCA_009697265.1_contig1.region002,0.28
GCA_009870135.1,GCA_009870135.1_contig20.region001,0.28
GCA_014219575.1,GCA_014219575.1_contig22.region001,0.28
GCA_014219595.1,GCA_014219595.1_contig67.region001,0.28
GCA_014219625.1,GCA_014219625.1_contig092.region001,0.28
GCA_014219635.1,GCA_014219635.1_contig11.region001,0.28
GCA_014219665.1,GCA_014219665.1_contig18.region001,0.28
GCA_014219695.1,GCA_014219695.1_contig31.region001,0.28
GCA_014219705.1,GCA_014219705.1_contig30.region001,0.28
GCA_014219765.1,GCA_014219765.1_contig24.region001,0.28
GCA_014219805.1,GCA_014219805.1_contig33.region001,0.28
GCA_014219825.1,GCA_014219825.1_contig22.region001,0.28
GCA_014219865.1,GCA_014219865.1_contig22.region001,0.28
GCA_014219885.1,GCA_014219885.1_contig36.region001,0.28
GCA_014219905.1,GCA_014219905.1_contig45.region001,0.28
GCA_900092085.1,GCA_900092085.1_contig31.region001,0.28
GCA_900156945.1,GCA_900156945.1_contig053.region001,0.28
GCA_900447345.1,GCA_900447345.1_contig05.region001,0.28
GCA_900447425.1,GCA_900447425.1_contig3.region002,0.28
GCA_002022085.1,GCA_002022085.1_contig1.region001,0.28
GCA_002023195.1,GCA_002023195.1_contig05.region001,0.28
GCA_002023385.1,GCA_002023385.1_contig11.region001,0.28
GCA_002023715.1,GCA_002023715.1_contig04.region001,0.28
GCA_002843925.1,GCA_002843925.1_contig2.region002,0.28
GCA_002843945.1,GCA_002843945.1_contig8.region001,0.28
GCA_002995685.1,GCA_002995685.1_contig02.region001,0.28
GCA_002995695.1,GCA_002995695.1_contig10.region001,0.28
GCA_002995725.1,GCA_002995725.1_contig08.region001,0.28
GCA_003971175.1,GCA_003971175.1_contig1.region002,0.28
GCA_009865695.1,GCA_009865695.1_contig33.region001,0.28
GCA_900157025.1,GCA_900157025.1_contig19.region001,0.28
GCA_001418105.1,GCA_001418105.1_contig22.region001,0.28
GCA_003944795.1,GCA_003944795.1_contig3.region001,0.28
GCA_014202195.1,GCA_014202195.1_contig01.region001,0.28
GCA_000265385.1,GCA_000265385.1_contig1.region001,0.28
GCA_001573155.1,GCA_001573155.1_contig07.region001,0.28
GCA_001641085.1,GCA_001641085.1_contig29.region001,0.28
GCA_002338705.1,GCA_002338705.1_contig62.region001,0.28
GCA_002352865.1,GCA_002352865.1_contig08.region001,0.28
GCA_002364215.1,GCA_002364215.1_contig17.region001,0.28
GCA_002365615.1,GCA_002365615.1_contig66.region001,0.28
GCA_002375625.1,GCA_002375625.1_contig167.region001,0.28
GCA_002375695.1,GCA_002375695.1_contig06.region001,0.28
GCA_002414425.1,GCA_002414425.1_contig14.region001,0.28
GCA_002414565.1,GCA_002414565.1_contig23.region001,0.28
GCA_002414725.1,GCA_002414725.1_contig18.region001,0.28
GCA_002415015.1,GCA_002415015.1_contig19.region001,0.28
GCA_002426065.1,GCA_002426065.1_contig22.region001,0.28
GCA_002453015.1,GCA_002453015.1_contig060.region001,0.28
GCA_002683555.1,GCA_002683555.1_contig22.region001,0.28
GCA_002697085.1,GCA_002697085.1_contig03.region001,0.28
GCA_002715485.1,GCA_002715485.1_contig19.region001,0.28
GCA_002726175.1,GCA_002726175.1_contig17.region001,0.28
GCA_002733915.1,GCA_002733915.1_contig17.region001,0.28
GCA_003450155.1,GCA_003450155.1_contig121.region001,0.28
GCA_003487925.1,GCA_003487925.1_contig221.region001,0.28
GCA_007997155.1,GCA_007997155.1_contig01.region001,0.28
GCA_008974325.1,GCA_008974325.1_contig12.region001,0.28
GCA_900489835.1,GCA_900489835.1_contig26.region001,0.28
GCA_000429125.1,GCA_000429125.1_contig05.region001,0.28
GCA_000952855.1,GCA_000952855.1_contig10.region001,0.28
GCA_002364135.1,GCA_002364135.1_contig70.region001,0.28
GCA_002384345.1,GCA_002384345.1_contig06.region001,0.28
GCA_002414635.1,GCA_002414635.1_contig05.region001,0.28
GCA_002683495.1,GCA_002683495.1_contig129.region001,0.28
GCA_002696305.1,GCA_002696305.1_contig079.region001,0.28
GCA_002715155.1,GCA_002715155.1_contig12.region001,0.28
GCA_003504555.1,GCA_003504555.1_contig122.region001,0.28
GCA_900489465.1,GCA_900489465.1_contig13.region001,0.28
GCA_002291765.1,GCA_002291765.1_contig06.region001,0.28
GCA_002294145.1,GCA_002294145.1_contig08.region001,0.28
GCA_002379985.1,GCA_002379985.1_contig08.region001,0.28
GCA_002966125.1,GCA_002966125.1_contig1.region001,0.28
GCA_007997135.1,GCA_007997135.1_contig03.region001,0.28
GCA_013003025.1,GCA_013003025.1_contig41.region001,0.28
GCA_013042075.1,GCA_013042075.1_contig035.region001,0.28
GCA_013042595.1,GCA_013042595.1_contig55.region001,0.28
GCA_013043685.1,GCA_013043685.1_contig46.region001,0.28
GCA_002754315.1,GCA_002754315.1_contig1.region004,0.28
GCA_003968735.1,GCA_003968735.1_contig23.region001,0.28
GCA_003968755.1,GCA_003968755.1_contig26.region001,0.28
GCA_003968825.1,GCA_003968825.1_contig07.region001,0.28
GCA_003970305.1,GCA_003970305.1_contig20.region001,0.28
GCA_003970335.1,GCA_003970335.1_contig15.region001,0.28
GCA_003970375.1,GCA_003970375.1_contig10.region001,0.28
GCA_003970395.1,GCA_003970395.1_contig09.region001,0.28
GCA_003984855.1,GCA_003984855.1_contig29.region001,0.28
GCA_000744835.1,GCA_000744835.1_contig1.region001,0.28
GCA_000812945.1,GCA_000812945.1_contig01.region004,0.28
GCA_003312425.1,GCA_003312425.1_contig01.region001,0.28
GCA_003350545.1,GCA_003350545.1_contig01.region001,0.28
GCA_003633605.1,GCA_003633605.1_contig1.region001,0.28
GCA_003634755.1,GCA_003634755.1_contig04.region001,0.28
GCA_004349085.1,GCA_004349085.1_contig25.region001,0.28
GCA_004349155.1,GCA_004349155.1_contig23.region001,0.28
GCA_004349195.1,GCA_004349195.1_contig07.region001,0.28
GCA_004349315.1,GCA_004349315.1_contig22.region001,0.28
GCA_007097245.1,GCA_007097245.1_contig64.region001,0.28
GCA_007994155.1,GCA_007994155.1_contig01.region001,0.28
GCA_900099915.1,GCA_900099915.1_contig26.region001,0.28
GCA_900108015.1,GCA_900108015.1_contig18.region001,0.28
GCA_900129585.1,GCA_900129585.1_contig25.region001,0.28
GCA_002150205.1,GCA_002150205.1_contig227.region001,0.28
GCA_007830355.1,GCA_007830355.1_contig01.region001,0.28
GCA_009764685.1,GCA_009764685.1_contig15.region001,0.28
GCA_009764715.1,GCA_009764715.1_contig125.region001,0.28
GCA_014156605.1,GCA_014156605.1_contig094.region001,0.28
GCA_900112975.1,GCA_900112975.1_contig21.region001,0.28
GCA_001637185.1,GCA_001637185.1_contig10.region001,0.28
GCA_003314435.2,GCA_003314435.2_contig16.region001,0.28
GCA_003688495.1,GCA_003688495.1_contig04.region001,0.28
GCA_004349135.1,GCA_004349135.1_contig01.region001,0.28
GCA_004349145.1,GCA_004349145.1_contig33.region001,0.28
GCA_011064265.1,GCA_011064265.1_contig1.region003,0.28
GCA_011365745.1,GCA_011365745.1_contig20.region001,0.28
GCA_014281985.1,GCA_014281985.1_contig49.region001,0.28
GCA_014305215.1,GCA_014305215.1_contig03.region001,0.28
GCA_900107635.1,GCA_900107635.1_contig20.region001,0.28
GCA_900110375.1,GCA_900110375.1_contig13.region001,0.28
GCA_900129575.1,GCA_900129575.1_contig21.region001,0.28
GCA_900142695.1,GCA_900142695.1_contig035.region001,0.28
GCA_900142885.1,GCA_900142885.1_contig15.region001,0.28
GCA_900143245.1,GCA_900143245.1_contig29.region001,0.28
GCA_000153165.2,GCA_000153165.2_contig1.region001,0.28
GCA_000154725.1,GCA_000154725.1_contig1.region004,0.28
GCA_000196315.1,GCA_000196315.1_contig1.region001,0.28
GCA_002354475.1,GCA_002354475.1_contig09.region001,0.28
GCA_002384605.1,GCA_002384605.1_contig030.region001,0.28
GCA_002695265.1,GCA_002695265.1_contig002.region001,0.28
GCA_002716225.1,GCA_002716225.1_contig01.region001,0.28
GCA_000220525.2,GCA_000220525.2_contig34.region001,0.28
GCA_000023465.1,GCA_000023465.1_contig1.region001,0.28
GCA_000060345.1,GCA_000060345.1_contig1.region003,0.28
GCA_000224335.2,GCA_000224335.2_contig70.region001,0.28
GCA_000764775.1,GCA_000764775.1_contig54.region001,0.28
GCA_000764795.1,GCA_000764795.1_contig62.region001,0.28
GCA_000775755.1,GCA_000775755.1_contig29.region001,0.28
GCA_001678675.1,GCA_001678675.1_contig019.region001,0.28
GCA_001678685.1,GCA_001678685.1_contig36.region001,0.28
GCA_001874145.1,GCA_001874145.1_contig18.region001,0.28
GCA_002094855.1,GCA_002094855.1_contig45.region001,0.28
GCA_002696105.1,GCA_002696105.1_contig034.region001,0.28
GCA_002973595.1,GCA_002973595.1_contig04.region001,0.28
GCA_003008425.1,GCA_003008425.1_contig06.region001,0.28
GCA_003259265.1,GCA_003259265.1_contig04.region001,0.28
GCA_007997285.1,GCA_007997285.1_contig02.region001,0.28
GCA_008086165.1,GCA_008086165.1_contig25.region001,0.28
GCA_008086205.1,GCA_008086205.1_contig05.region002,0.28
GCA_900104375.1,GCA_900104375.1_contig1.region001,0.28
GCA_900106795.1,GCA_900106795.1_contig17.region001,0.28
GCA_900115185.1,GCA_900115185.1_contig13.region001,0.28
GCA_900141955.1,GCA_900141955.1_contig35.region001,0.28
GCA_000253275.1,GCA_000253275.1_contig1.region001,0.28
GCA_002217205.1,GCA_002217205.1_contig232.region001,0.28
GCA_002530755.1,GCA_002530755.1_contig152.region001,0.28
GCA_006716585.1,GCA_006716585.1_contig1.region001,0.28
GCA_007990815.1,GCA_007990815.1_contig035.region001,0.28
GCA_000255455.1,GCA_000255455.1_contig18.region001,0.28
GCA_000403785.1,GCA_000403785.1_contig27.region001,0.28
GCA_000424645.1,GCA_000424645.1_contig1.region001,0.28
GCA_003634585.1,GCA_003634585.1_contig05.region001,0.28
GCA_007827275.1,GCA_007827275.1_contig1.region001,0.28
GCA_007997295.1,GCA_007997295.1_contig02.region001,0.28
GCA_000260115.1,GCA_000260115.1_contig1.region001,0.28
GCA_000260835.1,GCA_000260835.1_contig34.region001,0.28
GCA_000283015.1,GCA_000283015.1_contig10.region001,0.28
GCA_000789235.1,GCA_000789235.1_contig1.region001,0.28
GCA_000941055.1,GCA_000941055.1_contig1.region001,0.28
GCA_001005315.1,GCA_001005315.1_contig196.region002,0.28
GCA_001747085.1,GCA_001747085.1_contig54.region003,0.28
GCA_001971785.1,GCA_001971785.1_contig1.region002,0.28
GCA_002428305.1,GCA_002428305.1_contig41.region001,0.28
GCA_002886045.1,GCA_002886045.1_contig1.region003,0.28
GCA_003143755.1,GCA_003143755.1_contig01.region001,0.28
GCA_003258355.1,GCA_003258355.1_contig087.region001,0.28
GCA_004804355.1,GCA_004804355.1_contig04.region001,0.28
GCA_008501705.1,GCA_008501705.1_contig017.region001,0.28
GCA_009498295.1,GCA_009498295.1_contig1.region001,0.28
GCA_900112595.1,GCA_900112595.1_contig19.region001,0.28
GCA_900129405.1,GCA_900129405.1_contig23.region001,0.28
GCA_900141715.1,GCA_900141715.1_contig14.region001,0.28
GCA_900141885.1,GCA_900141885.1_contig26.region001,0.28
GCA_000374405.1,GCA_000374405.1_contig65.region001,0.28
GCA_000419685.1,GCA_000419685.1_contig05.region001,0.28
GCA_000422705.1,GCA_000422705.1_contig02.region001,0.28
GCA_000425645.1,GCA_000425645.1_contig01.region002,0.28
GCA_000430845.1,GCA_000430845.1_contig04.region001,0.28
GCA_000455605.1,GCA_000455605.1_contig1.region002,0.28
GCA_000611675.1,GCA_000611675.1_contig07.region001,0.28
GCA_000735715.2,GCA_000735715.2_contig22.region001,0.28
GCA_002017945.1,GCA_002017945.1_contig12.region001,0.28
GCA_004293805.1,GCA_004293805.1_contig304.region001,0.28
GCA_900114945.1,GCA_900114945.1_contig44.region001,0.28
GCA_902506345.1,GCA_902506345.1_contig05.region001,0.28
GCA_000723205.1,GCA_000723205.1_contig1.region001,0.28
GCA_001439665.1,GCA_001439665.1_contig19.region001,0.28
GCA_002900225.1,GCA_002900225.1_contig002.region001,0.28
GCA_007197735.1,GCA_007197735.1_contig1.region001,0.28
GCA_009796865.1,GCA_009796865.1_contig1.region001,0.28
GCA_000733945.1,GCA_000733945.1_contig2.region001,0.28
GCA_011050015.1,GCA_011050015.1_contig176.region001,0.28
GCA_000735105.1,GCA_000735105.1_contig08.region001,0.28
GCA_900110605.1,GCA_900110605.1_contig12.region001,0.28
GCA_000735695.2,GCA_000735695.2_contig04.region001,0.28
GCA_001403755.1,GCA_001403755.1_contig13.region001,0.28
GCA_003729975.1,GCA_003729975.1_contig14.region001,0.28
GCA_000737665.1,GCA_000737665.1_contig01.region003,0.28
GCA_000799515.1,GCA_000799515.1_contig01.region001,0.28
GCA_001677935.1,GCA_001677935.1_contig111.region001,0.28
GCA_001677955.1,GCA_001677955.1_contig001.region001,0.28
GCA_001693475.1,GCA_001693475.1_contig45.region001,0.28
GCA_900116415.1,GCA_900116415.1_contig05.region001,0.28
GCA_000737705.1,GCA_000737705.1_contig04.region001,0.28
GCA_000737785.1,GCA_000737785.1_contig27.region001,0.28
GCA_000745775.1,GCA_000745775.1_contig05.region001,0.28
GCA_001404985.1,GCA_001404985.1_contig11.region001,0.28
GCA_001422725.1,GCA_001422725.1_contig05.region001,0.28
GCA_001428525.1,GCA_001428525.1_contig10.region001,0.28
GCA_001602525.1,GCA_001602525.1_contig05.region001,0.28
GCA_001662485.1,GCA_001662485.1_contig17.region001,0.28
GCA_002017935.1,GCA_002017935.1_contig01.region001,0.28
GCA_002217195.1,GCA_002217195.1_contig17.region001,0.28
GCA_002217355.1,GCA_002217355.1_contig04.region001,0.28
GCA_002217365.1,GCA_002217365.1_contig23.region001,0.28
GCA_002217435.1,GCA_002217435.1_contig47.region001,0.28
GCA_002217445.1,GCA_002217445.1_contig10.region001,0.28
GCA_002217475.1,GCA_002217475.1_contig091.region001,0.28
GCA_002482975.1,GCA_002482975.1_contig20.region001,0.28
GCA_003202435.1,GCA_003202435.1_contig09.region001,0.28
GCA_003633785.1,GCA_003633785.1_contig1.region004,0.28
GCA_004339525.1,GCA_004339525.1_contig1.region004,0.28
GCA_004366435.1,GCA_004366435.1_contig06.region001,0.28
GCA_004368785.1,GCA_004368785.1_contig05.region001,0.28
GCA_009674815.1,GCA_009674815.1_contig03.region001,0.28
GCA_009711135.1,GCA_009711135.1_contig08.region001,0.28
GCA_009711165.1,GCA_009711165.1_contig032.region001,0.28
GCA_009789235.1,GCA_009789235.1_contig11.region001,0.28
GCA_010645065.1,GCA_010645065.1_contig085.region001,0.28
GCA_010645075.1,GCA_010645075.1_contig22.region001,0.28
GCA_013393195.1,GCA_013393195.1_contig25.region001,0.28
GCA_900112575.1,GCA_900112575.1_contig19.region001,0.28
GCA_900129595.1,GCA_900129595.1_contig45.region001,0.28
GCA_900142735.1,GCA_900142735.1_contig10.region001,0.28
GCA_900142775.1,GCA_900142775.1_contig10.region001,0.28
GCA_900182645.1,GCA_900182645.1_contig05.region001,0.28
GCA_900187965.1,GCA_900187965.1_contig21.region001,0.28
GCA_900450525.1,GCA_900450525.1_contig5.region001,0.28
GCA_902804485.1,GCA_902804485.1_contig113.region001,0.28
GCA_903819435.1,GCA_903819435.1_contig070.region001,0.28
GCA_903819445.1,GCA_903819445.1_contig094.region001,0.28
GCA_000378485.1,GCA_000378485.1_contig03.region001,0.28
GCA_000769825.1,GCA_000769825.1_contig23.region001,0.28
GCA_000799195.1,GCA_000799195.1_contig12.region001,0.28
GCA_000943555.1,GCA_000943555.1_contig01.region001,0.28
GCA_001013295.1,GCA_001013295.1_contig106.region001,0.28
GCA_003523505.1,GCA_003523505.1_contig011.region001,0.28
GCA_004137745.1,GCA_004137745.1_contig1.region006,0.28
GCA_008386485.1,GCA_008386485.1_contig31.region002,0.28
GCA_014220045.1,GCA_014220045.1_contig16.region001,0.28
